pmid,first_affiliation_short,country,region
41326304,"Department of Bioinformatics, Fraunhofer Institute for Algorithms and Scientific Computing (SCAI), Sankt, Augustin, 53757, Germany.",Germany,Western Europe
39989135,"Department of Physics, Carleton University, Ottawa, Canada.",Canada,North America
36900036,"Division of Vascular and Interventional Radiology, Department of Radiology, The Ohio State University Wexner Medical Center, Columbus, OH 43210, USA.",USA,North America
40661220,"Department of Gastroenterology and Endoscopy, IRCCS Ospedale San Raffaele, Milan, Italy.",Italy,Western Europe
38914582,"Department of Physiotherapy, Institute of Health Sciences, Universität zu Lübeck, Ratzeburger Allee 160, 23562, Lübeck, Germany. a.griefahn@hs-osnabrueck.de.",Germany,Western Europe
40258923,"Department of Computer Science, COMSATS University, Sahiwal Campus, Islamabad, Pakistan.",Pakistan,South/Southeast Asia
37863559,"Department of Pathology, University of Michigan, NCRC Building 35, 2800 Plymouth Road, Ann Arbor, MI 48109, USA. Electronic address: mustafay@med.umich.edu.",USA,North America
40035038,"Institute of Basic Research in Clinical Medicine, China Academy of Chinese Medical Sciences, Beijing, China.",China,East Asia
40501075,"Department of Periodontology, College of Dentistry and Institute of Oral Bioscience, Jeonbuk National University, Jeonju, Korea.",South Korea,East Asia
41637205,"Division of Gastroenterology and Hepatology, Sheikh Shakhbout Medical City, Abu Dhabi, United Arab Emirates.",UAE,Middle East / North Africa
40203306,"Virtua Health, Marlton, NJ, United States.",USA,North America
36746792,"Townsville University Hospital, 100 Angus Smith Drive, Townsville, QLD, 4814, Australia. Abhishta.bhandari@my.jcu.edu.au.",Australia,Latin America / Oceania
40323320,"Duke University Health System, Durham, NC, United States.",USA,North America
35320133,"From the Department of Anesthesiology, Virginia Commonwealth University, Richmond, Virginia.",USA,North America
33787537,"From the Department of Radiology, University Hospital of Basel, Basel, Basel-Stadt, Switzerland.",Switzerland,Western Europe
42004471,"Department of Respiratory Medicine, The First Affiliated Hospital of Soochow University, Suzhou, Jiangsu Province, China.",China,East Asia
38970241,"Academic Quality Department, QU Health, Qatar University, Doha, Qatar.",Qatar,Middle East / North Africa
41296915,"Faculty of Medicine, University of Ottawa, Ottawa, ON, Canada.",Canada,North America
32380551,"Leeds Institute for Data Analytics, University of Leeds, Leeds, UK.",United Kingdom,Western Europe
38801724,"University Hospitals Birmingham NHS Foundation Trust, Birmingham, UK.",United Kingdom,Western Europe
39040948,"Kansas City University, Kansas City, MO, United States.",USA,North America
41118646,"School of Nursing, Capital Medical University, Bejing, China.",China,East Asia
39480883,"Division of Gastroenterology, St. Michael's Hospital, University of Toronto, Toronto, Ontario, Canada.",Canada,North America
40997490,"Department of Surgical, Medical and Molecular Pathology and Critical Care Medicine, University of Pisa, Pisa, Italy.",Italy,Western Europe
41751932,"First University Department of Respiratory Medicine, 'Sotiria' Chest Hospital, Medical School, National and Kapodistrian University of Athens, 11527 Athens, Greece.",Greece,Western Europe
40902437,"Department of Radiology, Copenhagen University Hospital Rigshospitalet, Copenhagen 2100, Denmark; Department of Clinical Medicine, University of Copenhagen, Copenhagen 2200, Denmark. Electronic addres",Denmark,Western Europe
38744667,"Department of Gastroenterology, Renmin Hospital of Wuhan University, Wuhan, China.",China,East Asia
36864838,"Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, China.",China,East Asia
38846068,"Stroke Monitoring and Diagnostic Division, AtheroPoint™, Roseville, CA, 95661, USA.",USA,North America
40961911,"Clinic of Neuroradiology, University Hospital Bonn, Bonn, Germany; German Center for Neurodegenerative Diseases (DZNE), Bonn, Germany. Electronic address: zeynep.bendella@ukbonn.de.",Germany,Western Europe
39240568,"Center for Health System Sciences, Atrium Health, Charlotte, North Carolina.",USA,North America
37695650,"Deakin School of Medicine, Geelong, Australia.",Australia,Latin America / Oceania
40868392,"Radiology, Mayo Clinic, Rochester, MN 55905, USA.",USA,North America
40934090,"Dipartimento Universitario di Neuroscienze, Università Cattolica del Sacro Cuore, Rome, Italy.",Italy,Western Europe
41588757,"Department of Physics, Guru Kashi University, Talwandi Sabo, Bathinda, Punjab, 151302, India.",India,South/Southeast Asia
35681603,"Department of Radiology and Biomedical Imaging, Yale School of Medicine, 333 Cedar Street, P.O. Box 208042, New Haven, CT 06520, USA.",USA,North America
41026071,"US FDA / Center for Devices and Radiological Health, White Oak, Maryland. Electronic address: YeeLamElim.Thompson@fda.hhs.gov.",USA,North America
39179744,"Department of Radiology, Research Institute of Radiological Science and Center for Clinical Imaging Data Science, Yongin Severance Hospital, Yonsei University College of Medicine, 363, Dongbaekjukjeon",South Korea,East Asia
41673318,"Faculty of Medicine, Department of Neurosurgery, Duzce University, Duzce, Türkiye. cengiztuncer@gmail.com.",Turkey,Middle East / North Africa
41940575,"Department of Anaesthesia, South West Sydney Clinical Campus, Faculty of Medicine and Health, University of New South Wales, Sydney, New South Wales, Australia.",Australia,Latin America / Oceania
38753321,"The University of Maryland School of Medicine, Baltimore.",USA,North America
36628794,"Institute for Biomedical Ethics, University of Basel, Basel, Switzerland. Electronic address: laura.arbelaezossa@unibas.ch.",Switzerland,Western Europe
40442679,"Faculty of Medicine, University of Kalamoon, Al-Nabk, Syria. hamdahhanifa@gmail.com.",Syria,Middle East / North Africa
38743959,"From the Department of Orthopaedic Surgery, Vanderbilt University Medical Center, Nashville, TN.",USA,North America
38172581,"Department of Ophthalmology, University of Pittsburgh School of Medicine, Pittsburgh, PA, USA.",USA,North America
37527200,Artificial Intelligence and Digital Innovation Research Group.,,Unknown
38719771,"Department of Pathology Informatics, Nagasaki University Graduate School of Biomedical Sciences, Nagasaki, Japan.",Japan,East Asia
40296459,"Department of Psychiatry, Yonsei University College of Medicine, Seoul, Republic of Korea; and Institute of Behavioral Science in Medicine, Yonsei University College of Medicine, Seoul, Republic of Ko",South Korea,East Asia
35581039,"Department of Oral and Craniofacial Health Sciences, College of Dental Medicine, University of Sharjah, United Arab Emirates.",UAE,Middle East / North Africa
41060023,"Department of Health Policy and Management, Yale School of Public Health, 60 College Street, New Haven, CT, 06510, United States, 1 2037852867.",USA,North America
40088793,"Faculty of Science and Health, Midlands Campus, Technological University of the Shannon, Ireland; Centre for Sustainable Disinfection and Sterilization, Technological University of the Shannon, Irelan",Ireland,Western Europe
38422727,"Department of Radiology and Diagnostic Imaging, University of Alberta, Edmonton, Canada. Electronic address: banfel@ualberta.ca.",Canada,North America
39776223,"Department of Otorhinolaryngology, Kemalpaşa State Hospital, İzmir, Turkey.",Turkey,Middle East / North Africa
40344152,"Ulster University, School of Health Sciences, York St, Northern Ireland.",United Kingdom,Western Europe
41585382,Advanced Diagnostic and Interventional Radiology Research Center (ADIR) Tehran University of Medical Science Tehran Iran.,Iran,Middle East / North Africa
41990234,"Department of Cardiology, Shuguang Hospital, Shanghai University of Traditional Chinese Medicine, 185 Pu'an Road, Huangpu District, Shanghai, 200021, China, 86 13501991450.",China,East Asia
38240891,"Department of Gastroenterology, International University of Health and Welfare Ichikawa Hospital, 6-1-14, Konodai, Ichikawa-Shi, Chiba, 272-0827, Japan. s.sho.salubriter.mail@gmail.com.",Japan,East Asia
34025952,"Biomedical Simulations and Imaging Lab, School of Electrical and Computer Engineering, National Technical University of Athens, Greece.",Greece,Western Europe
35449442,"Stanford University, Stanford, CA, USA.",USA,North America
41872525,"Department of Pediatric Cardiology, Faculty of Medicine, Necmettin Erbakan University, Konya, Turkey. md.ugursarac@gmail.com.",Turkey,Middle East / North Africa
41376999,"School of Medicine, Ewha Womans University, Seoul, South Korea.",South Korea,East Asia
40741008,"Department of Primary Care and Public Health, Imperial College London, London W12 0BZ, United Kingdom.",United Kingdom,Western Europe
41257517,"Department of Gastroenterology and Endoscopy, ASST Fatebenefratelli Sacco, Milan, Italy.",Italy,Western Europe
41998677,"Emergency Department, Van Education and Research Hospital, Van, Turkey. gunsoyertug@gmail.com.",Turkey,Middle East / North Africa
32969051,"Digestive Disease Center, Showa University Northern Yokohama Hospital, Kanagawa, Japan.",Japan,East Asia
37772474,"Institute of Medical Science, University of Toronto, Toronto, Ontario, Canada.",Canada,North America
36706921,"Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Southern Medical University, Guangzhou 510000, Guangdong, China; The Second School of Clinical Medicine, Southern Medical",China,East Asia
40355311,"Health and Science University Dr. Behcet Uz Pediatric Diseases and Surgery Training and Research Hospital, Department of Pediatric Surgery, Kultur mh. Dr.Mustafa Enver Bey cd. No:32 D:10 Konak, Izmir,",Turkey,Middle East / North Africa
40260606,"Division of Medicine, University College London, London, UK.",United Kingdom,Western Europe
39629551,"Richard Severin is the clinical assistant professor in the Department of Physical Therapy, College of Applied Health Sciences at the University of Illinois-Chicago, 1919 W. Taylor Street (MC 898), Chi",USA,North America
37752162,"Stanford School of Medicine, Stanford, USA.",USA,North America
36202474,"Department of Radiology and Imaging Sciences, University of Utah Health, 30 North 1900 East, Room # 1A71, Salt Lake City, UT 84132, USA.",USA,North America
37675518,"Infectious Diseases and Hospital Epidemiology, Department of General Internal Medicine, Cantonal Hospital Winterthur, Winterthur, Switzerland.",Switzerland,Western Europe
39046690,"Division of Pharmacy, Department of Pharmacy Practice and Pharmaceutical Care, Faculty of Medicine, University of Pristina, Prishtina, Kosovo.",Kosovo,Eastern Europe
35075207,"Department of Radiology, Guro Hospital, Korea University College of Medicine, Seoul, Republic of Korea.",South Korea,East Asia
37978982,"Dermatology Unit, University of Campania ""Luigi Vanvitelli"", Naples, Italy. Electronic address: gabriella.brancaccio@unicampania.it.",Italy,Western Europe
40055532,"Department of Dermatology, Stanford University, Stanford, USA.",USA,North America
40589366,"Oral Medicine, Periodontology, and Oral Diagnosis, Faculty of Dentistry, King Salman International University, El Tur, Egypt.",Egypt,Middle East / North Africa
40233873,"Department of Radiation Oncology, Royal North Shore Hospital, Sydney, New South Wales, Australia; Kolling Institute of Medical Research, The Faculty of Medicine and Health, University of Sydney, Sydne",Australia,Latin America / Oceania
41424220,"Department of Life, Health and Environmental Sciences, University of L'Aquila, L'Aquila, Italy.",Italy,Western Europe
39299831,"IMAGINE UR UM 103, Montpellier University, Department of Medical Imaging, Nîmes University Hospital, 30900 Nîmes, France. Electronic address: maxime.pastor@chu-nimes.fr.",France,Western Europe
38831298,"Department of Health Management, Evaluation and Policy, School of Public Health, University of Montreal, P.O. Box 6128, Branch Centre-Ville, Montreal, QC, H3C 3J7, Canada. hassane.alami@umontreal.ca.",Canada,North America
39538066,"Department of Future Diagnostic Radiology, Osaka University Graduate School of Medicine, 2-2, Yamadaoka, Suita, Osaka, 565-0871, Japan. a-nakamoto@radiol.med.osaka-u.ac.jp.",Japan,East Asia
41037756,"Group Clinical Education, National Healthcare Group, 1 Mandalay Rd, Singapore, 308205, Singapore, 65 6496-6000.",Singapore,East Asia
35515107,"Department of Radiology, The Second Affiliated Hospital of Guangzhou University of Chinese Medicine, Guangzhou, China.",China,East Asia
41299590,"Department of Laboratory Medicine, Nanjing Drum Tower Hospital Clinical College of Nanjing University of Chinese Medicine, Nanjing, Jiangsu, China.",China,East Asia
40966445,"Department of Anesthesiology and Perioperative Medicine, Mayo Clinic, Rochester, MN 55905, United States.",USA,North America
41793726,"Department of Public Administration and International Affairs, Maxwell School of Citizenship and Public Affairs, Syracuse University, Syracuse, NY, United States.",USA,North America
39715322,"Ophthalmology Department, ""Fondazione Policlinico Universitario A. Gemelli, IRCCS"", Rome, Italy.",Italy,Western Europe
40002618,"Department of Maxillofacial Surgery and Diagnostic Sciences, College of Dentistry, King Saud bin Abdulaziz University for Health Sciences, Riyadh 11481, Saudi Arabia.",Saudi Arabia,Middle East / North Africa
40138691,"Kiel Institute of Responsible Innovation, University of Kiel, Kiel, Germany.",Germany,Western Europe
40194867,"Centre for Innovation and Precision Eye Health, Yong Loo Lin School of Medicine, National University of Singapore and National University Health System, Singapore.",Singapore,East Asia
39622288,"Saint Luke's Marion Bloch Neuroscience Institute Department of Neurosurgery, Kansas City, Missouri, USA. Electronic address: akmakkawi@gmail.com.",USA,North America
36806223,"Department of Oral and Maxillofacial Radiology, Yonsei University College of Dentistry, Seoul, Korea.",South Korea,East Asia
39685515,"Department of Radiology, Inha University College of Medicine, Incheon 22332, Republic of Korea.",South Korea,East Asia
41548327,"Department of Nursing, College of Nursing, Chang Gung University of Science and Technology, Taoyuan, Taiwan.",Taiwan,East Asia
39103301,"Department of Research, Norway and Institute of Clinical Medicine, Østfold Hospital, University of Oslo, Oslo, Norway.",Norway,Western Europe
36404713,"Department of Gastroenterology, Hepatology and Infectious Diseases Otto-v.-Guericke University Magdeburg, Magdeburg, Germany.",Germany,Western Europe
38822883,"UCD Centre for Precision Surgery, University College Dublin, Dublin, Ireland.",Ireland,Western Europe
42054485,"SC Patologia Clinica, Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico, Milan (MI), Italy.",Italy,Western Europe
41948686,Department of Otolaryngology - Head and Neck Surgery Virginia Commonwealth University School of Medicine Richmond Virginia USA.,USA,North America
37574841,"Medical Research (Medmain Research), Medmain Inc, Fukuoka, Japan.",Japan,East Asia
36421593,"Department of Biomedical Informatics, Vanderbilt University Medical Center, Nashville, TN 37240, USA.",USA,North America
38951288,"University of Sao Paulo, Sao Paulo, SP, Brazil.",Brazil,Latin America / Oceania
39034604,"Department of Neuroradiology, MD Anderson Cancer Center, Houston, Texas, USA.",USA,North America
41094286,"Department of Urology, The Second Affiliated Hospital of Kunming Medical University, Yunnan Institute of Urology, Kunming, Yunnan, People's Republic of China.",China,East Asia
38485268,"McGill University Faculty of Medicine and Health Sciences, Montreal, Quebec, Canada.",Canada,North America
39290808,"Centre Léon Bérard, Centre de Recherche en Cancérologie de Lyon, France.",France,Western Europe
39952325,"Midwest Orthopaedics at RUSH, Chicago, IL, USA; UT Health San Antonio Long School of Medicine, San Antonio, TX, USA.",USA,North America
37397242,"Computational Health Research Branch, National Library of Medicine, National Institutes of Health, Bethesda, MD 20894, USA.",USA,North America
41810390,"Oujiang Laboratory (Zhejiang Lab for Regenerative Medicine, Vision, and Brain Health), Wenzhou Institute University of Chinese Academy of Sciences Wenzhou China.",China,East Asia
35502379,"Department of Radiology, State Key Laboratory of Complex Severe and Rare Diseases, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing,",China,East Asia
41746513,"Department of Pathology, Henan Provincial People's Hospital, Zhengzhou, 450003, P. R. China.",China,East Asia
40694809,"Pediatrics, Emory University School of Medicine, Atlanta, GA, 30307, United States.",USA,North America
41130659,"Department of Neurosurgery, Huashan Hospital, Shanghai, Medical College, Fudan University, Shanghai, National Center for Neurological Disorders, Shanghai, China; Shanghai Key Laboratory of Brain Funct",China,East Asia
41687100,"Headspace, Inc., San Francisco, CA, United States.",USA,North America
34802712,"Circle Neurovascular Imaging Inc, Calgary, AB, Canada. Electronic address: houssam.elhariri@circlenvi.com.",Canada,North America
39067136,"Department of Psychiatry, Yale University School of Medicine, New Haven, CT, USA. Electronic address: Walter.Mathis@Yale.edu.",USA,North America
39777218,"Faculty of Medicine, Srilalithambigai Medical College and Hospital, DR MGR Educational and Research Institute, Chennai, India.",India,South/Southeast Asia
35232784,"School of Computing, University of Leeds Faculty of Engineering and Physical Sciences, Leeds, UK C.McInerney@leeds.ac.uk.",United Kingdom,Western Europe
38467864,"Department of Ophthalmology, Akdeniz University Faculty of Medicine, Antalya, Turkey. m.erkandogan@gmail.com.",Turkey,Middle East / North Africa
40042139,"Department of Neonatology, National Clinical Research Center for Child Health and Disorders, Ministry of Education Key Laboratory of Child Development and Disorders, Children's Hospital of Chongqing M",China,East Asia
41525741,"Department of Neurosurgery, All India Institute of Medical Sciences, New Delhi, India.",India,South/Southeast Asia
40097064,"College of Health Management, Harbin Medical University, 157 Baojian Road, Harbin, Heilongjiang, 150081, China; Department of Orthopedic Surgery and BME-Campbell Clinic, University of Tennessee Health",USA,North America
37728947,,,Unknown
41479639,"The Second Department of Infectious Diseases, The First Affiliated Hospital, China Medical University, Shenyang 110001, Liaoning Province, China.",China,East Asia
34717051,"Department of Biochemistry, New South Wales Health Pathology, Nepean Blue Mountains Pathology Service, Penrith, Australia.",Australia,Latin America / Oceania
37991498,"Research Committee of Young-Otolaryngologists of the International Federations of Oto-Rhino-Laryngological Societies (YO-IFOS), Paris, France. Jerome.Lechien@umons.ac.be.",France,Western Europe
40123109,"The First School of Clinical Medicine, Lanzhou University, Lanzhou, China.",China,East Asia
40494217,"Department of Public Health, Ashkelon Academic College, Ben-Tzvi 12, Ashkelon 78211, Israel. Electronic address: osnatba@edu.aac.ac.il.",Israel,Middle East / North Africa
38213186,"Chicago Medical School at Rosalind Franklin University, North Chicago, IL.",USA,North America
41773851,"University of Miami Miller School of Medicine, Miami, FL, USA.",USA,North America
37604228,"Amity Institute of Nanotechnology, Amity University Noida, Uttar Pradesh 201303, India.",India,South/Southeast Asia
39695057,"Division of Plastic Surgery, Mayo Clinic, 4500 San Pablo Rd, Jacksonville, FL, 32224, USA.",USA,North America
36378293,"Division of Pulmonary, Allergy and Critical Care Medicine, Department of Medicine, Columbia University College of Physicians and Surgeons Irving Medical Center, New York, NY, USA.",USA,North America
41018948,"Charité Universitätsmedizin Berlin, Centrum für Muskuloskeletale Chirurgie Berlin Germany.",Germany,Western Europe
41178829,"Pfizer Research & Development, Groton, Connecticut, USA.",USA,North America
37671422,"Department of Ophthalmology, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China.",China,East Asia
41463609,"School of Information Technology and Engineering, Kazakh-British Technical University, Almaty 050000, Kazakhstan.",Kazakhstan,Eastern Europe
39485586,"Division of General Internal Medicine and Geriatrics, University Health Network and Sinai Health System, Toronto, Canada.",Canada,North America
37724282,"Department of Software Engineering, School of Software, Shenyang University of Technology, Shenyang 110870, Liaoning Province, China.",China,East Asia
40099418,"Department of Urology, The Second Hospital of Lanzhou University, Lanzhou, China.",China,East Asia
41775478,"Public Health Medicine, Universiti Kebangsaan Malaysia, Cheras, Kuala Lumpur, Malaysia.",Malaysia,South/Southeast Asia
39808709,"From the Division of Perioperative Informatics, Department of Anesthesiology, University of California San Diego Health, La Jolla, California.",USA,North America
38830634,"Toronto Metropolitan University, Toronto, Ontario, Canada.",Canada,North America
38679900,"Department of Population Health, NYU Grossman School of Medicine, New York, NY 10016, United States.",USA,North America
35697267,"Department of Pathology, National University Hospital, Singapore.",Singapore,East Asia
40956310,"Department of Medical Imaging Center, Nanfang Hospital, Southern Medical University, Guangzhou North Avenue No.1838, 510515, Guangzhou, China.",China,East Asia
39261223,"AI for Good Lab, Microsoft Corporation, 4330 150th Ave NE, Redmond, WA, 98052, USA.",USA,North America
39718146,"Ophthalmology Department, Tzafon Medical Center, Azrieli Faculty of Medicine, Bar Ilan University, Israel.",Israel,Middle East / North Africa
39666725,"Department of Internal Medicine, Leiden University Medical Center, Leiden, The Netherlands.",Netherlands,Western Europe
33529363,"Department of Neurology, University of Texas Health Science Center at Houston, Houston, Texas, USA.",USA,North America
37392423,"Faculty of Dentistry, University of Toronto, Toronto, Ontario, Canada.",Canada,North America
40679644,"Department of Pediatric Rheumatology, Dokuz Eylul University, Izmir, Turkey. aslihan.uzun@deu.edu.tr.",Turkey,Middle East / North Africa
39518361,"Department of Internal Medicine, University of Arkansas for Medical Sciences, Little Rock, AR 72205, USA.",USA,North America
37335593,"Institute of Family Medicine, University Hospital Schleswig-Holstein Luebeck Campus, Luebeck, Germany.",Germany,Western Europe
40357563,"Faculty of Health Sciences, Surgical Nursing, Erciyes University, Kayseri, Türkiye.",Turkey,Middle East / North Africa
36545883,"Department of Radiation Oncology, Winship Cancer Institute of Emory University, Atlanta, Georgia, USA.",USA,North America
40775178,"University of Alabama at Birmingham Marnix. E. Heersink School of Medicine, 619 19th Street South, Birmingham, AL, 35233, USA. knm0036@uab.edu.",USA,North America
35330205,"Department of Ophthalmology, ""Iuliu Hatieganu"" University of Medicine and Pharmacy, 8 Victor Babeș Street, 400012 Cluj-Napoca, Romania.",Romania,Eastern Europe
37009970,"Department of Internal Medicine, ECU Health/Brody School of Medicine, Greenville, NC, 27834, USA. alih20@ecu.edu.",USA,North America
39406471,"Gastroenterology and Digestive Endoscopy Unit, Ospedale dei Castelli, Ariccia, Rome, Italy.",Italy,Western Europe
38686754,"Private Academic Consultant, Phonhong, Lao People's Democratic Republic.",Laos,South/Southeast Asia
41671154,"University of Health Sciences, Konya City Hospital, Department of Neonatology, Konya, Turkey.",Turkey,Middle East / North Africa
34383925,"Department of Psychiatry & Behavioral Sciences, Rush University Medical Center, Chicago, Illinois, USA.",USA,North America
35798257,"Department of Oto-Rhino-Laryngology, West China Hospital, Sichuan University, Chengdu, China; West China Biomedical Big Data Center, West China Hospital, Sichuan University, Chengdu, China.",China,East Asia
36380195,"Radiology Department, Jeroen Bosch Ziekenhuis, Henri Dunantstraat 1, 5223 GZ, 's-Hertogenbosch, the Netherlands. n.hendrix@jbz.nl.",Netherlands,Western Europe
36624237,,,Unknown
41630546,"Healthcare AI Research Institute, Seoul National University Hospital, Seoul, Republic of Korea.",South Korea,East Asia
37987870,"Training Center for Emergency Medicine (NOTIS e.V), Breite Strasse 7, Engen, 78234, Germany. Stefan.Bushuven@notis-ev.de.",Germany,Western Europe
38131402,"Department of General Surgery, Epworth Hospital Richmond, Melbourne, Australia.",Australia,Latin America / Oceania
37442981,"Medical Research and Education Center of Lomonosov, Moscow State University, 27/10 Lomonosov Prospect, Moscow, 119192, Russia.",Russia,Eastern Europe
40820507,"Department of Psychiatry, Emory University School of Medicine, Atlanta.",USA,North America
41484344,"Pattern Recognition Lab, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany.",Germany,Western Europe
33862232,"Virginia Commonwealth University, 401 S. Main St., Richmond, VA 23284, USA. Electronic address: alolex@vcu.edu.",USA,North America
40035041,"Department of the Third Pulmonary Disease, Shenzhen Third People's Hospital, Shenzhen, Guangdong Province, China.",China,East Asia
36270953,"Department of Radiology, Hôpital Européen Georges Pompidou, Assistance Publique-Hôpitaux de Paris, Paris, 75015, France; Université Paris Cité, Faculté de Médecine, Paris, 75006, France; PARCC UMRS 97",France,Western Europe
40978717,"Department of Sociology and Anthropology, Ben-Gurion University of the Negev, Be'ersheba, Israel.",Israel,Middle East / North Africa
38552842,"Department of Orthopaedic Surgery, The Johns Hopkins Hospital, Baltimore, MD, USA. Electronic address: dghanem1@jh.edu.",USA,North America
40840786,"Centre for Addiction and Mental Health (CAMH), Toronto, ON, Canada.",Canada,North America
40857549,"Divisão de Urologia, Faculdade de Medicina da Universidade de São Paulo - FMUSP, São Paulo, Brasil.",Brazil,Latin America / Oceania
40785133,"School of Dentistry, The University of Queensland, Brisbane, Queensland, Australia.",Australia,Latin America / Oceania
40187199,"Department of Radiology and Radiological Science, Medical University of South Carolina, 25 Courtenay Drive, Charleston, SC 29425, USA; Radiology Department, Medical Imaging Centre, Semmelweis Universi",USA,North America
40205603,"Department of Gastroenterology, Shaanxi Province Rehabilitation Hospital, Xi'an, Shaanxi, China.",China,East Asia
37620423,"School of Information, The University of Texas at Austin, Austin, TX, USA.",USA,North America
39856756,"Division of Paediatric Emergency Medicine, Department of Paediatrics, Inselspital, Bern University Hospital, University of Bern, Bern, Switzerland. Julia.brandenberger@insel.ch.",Switzerland,Western Europe
39059040,"National Institute on Drug Abuse, Baltimore, MD, USA; University of Pennsylvania, Philadelphia, PA, USA.",USA,North America
41057716,"Centre for Innovation & Precision Eye Health, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Singapore.",Singapore,East Asia
39384488,"Hiroshima High-Precision Radiotherapy Cancer Center, 3-2-2, Futabanosato, Higashi-ku Hiroshima 732-0057, Japan; Department of Radiation Oncology, Graduate School of Biomedical & Health Sciences, Hiros",Japan,East Asia
41064784,"Post graduate, Dept of Pediatric and Preventive Dentistry, Saveetha Dental College & Hospitals, Saveetha Institute of Medical and Technical Sciences, Saveetha University, Chennai, Tamil Nadu, India.",India,South/Southeast Asia
34933741,"Editor-in-Chief, Clinical and Experimental Optometry Research Lab (CEORLab), Center of Physics. University of Minho, Portugal. Electronic address: jgmeijome@fisica.uminho.pt.",Portugal,Western Europe
37640155,"Infectious Diseases Research and Training Office, National Centre for Infectious Diseases, Singapore; Department of Preventive and Population Medicine, Office of Clinical Epidemiology, Analytics, and ",Singapore,East Asia
40754866,"Center for High Altitude Medicine, Institutes for Systems Genetics, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, Sichuan, 610041, C",China,East Asia
40882392,"Department of Obstetrics and Gynecology, University Hospital Ulm, Ulm, Germany. Electronic address: stefan.lukac@uniklinik-ulm.de.",Germany,Western Europe
38710407,"Department of Neurosurgery, Ümraniye Training And Research Hospital, İstanbul, Turkey. Electronic address: umutetli@gmail.com.",Turkey,Middle East / North Africa
41972077,"Department of Radiology, The First People's Hospital of Kunming, Kunming, China.",China,East Asia
39173597,"IVIRMA Global Research Alliance-IVI Valencia, IVF Laboratory, Valencia, Spain.",Spain,Western Europe
38871539,"""ANTICIPE"" Unit, Digestive Surgery Department, Calvados digestive tumour register, Inserm UMR 1086, CHU Caen, avenue de la Côte de Nacre, 14000 Caen, France. Electronic address: alves-a@chu-caen.fr.",France,Western Europe
41454792,"Department of Clinical Biochemistry, Cliniques Universitaires St-Lux, Brussels, Belgium and Université Catholique de Louvain, Brussels, Belgium.",Belgium,Western Europe
39939215,"California University of Science and Medicine, School of Medicine, 1501 Violet St, Colton, CA, 92324, USA. Electronic address: Sarah.lu@student.cusm.edu.",USA,North America
34127057,"Institute of Experimental Orthopaedics and Osteoarthritis Research, Saarland University, Homburg, Germany.",Germany,Western Europe
39873858,"Department of General, Visceral and Transplantation Surgery, Heidelberg University Hospital, Heidelberg, Germany.",Germany,Western Europe
