pmid,year,pub_date,title,abstract,journal,journal_abbr,pub_type,first_author,first_affiliation,doi,sjr_quartile,pub_year,paper_type,type_confidence,pub_year,stance,stance_model,confidence,predictive_claim,stance_raw
36316665,2022,2022 Oct,Value assessment of artificial intelligence in medical imaging: a scoping review.,"BACKGROUND: Artificial intelligence (AI) is seen as one of the major disrupting forces in the future healthcare system. However, the assessment of the value of these new technologies is still unclear, and no agreed international health technology assessment-based guideline exists. This study provides an overview of the available literature in the value assessment of AI in the field of medical imaging. METHODS: We performed a systematic scoping review of published studies between January 2016 and September 2020 using 10 databases (Medline, Scopus, ProQuest, Google Scholar, and six related databases of grey literature). Information about the context (country, clinical area, and type of study) and mentioned domains with specific outcomes and items were extracted. An existing domain classification, from a European assessment framework, was used as a point of departure, and extracted data were grouped into domains and content analysis of data was performed covering predetermined themes. RESULTS: Seventy-nine studies were included out of 5890 identified articles. An additional seven studies were identified by searching reference lists, and the analysis was performed on 86 included studies. Eleven domains were identified: (1) health problem and current use of technology, (2) technology aspects, (3) safety assessment, (4) clinical effectiveness, (5) economics, (6) ethical analysis, (7) organisational aspects, (8) patients and social aspects, (9) legal aspects, (10) development of AI algorithm, performance metrics and validation, and (11) other aspects. The frequency of mentioning a domain varied from 20 to 78% within the included papers. Only 15/86 studies were actual assessments of AI technologies. The majority of data were statements from reviews or papers voicing future needs or challenges of AI research, i.e. not actual outcomes of evaluations. CONCLUSIONS: This review regarding value assessment of AI in medical imaging yielded 86 studies including 11 identified domains. The domain classification based on European assessment framework proved useful and current analysis added one new domain. Included studies had a broad range of essential domains about addressing AI technologies highlighting the importance of domains related to legal and ethical aspects.",BMC medical imaging,BMC Med Imaging,"Journal Article; Research Support, Non-U.S. Gov't; Scoping Review",Fasterholdt Iben,"CIMT - Centre for Innovative Medical Technology, Odense University Hospital, Sdr. Boulevard 29, Entrance 102, 4rd Floor, 5000, Odense C, Denmark. if@rsyd.dk.",10.1007/s00330-020-07684-x,Q2,2022,discourse,Medium,2022,Neutral,sonnet,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
35725526,2022,2022 Oct,The use of artificial intelligence and virtual reality in doctor-patient risk communication: A scoping review.,"OBJECTIVES: While the development of artificial intelligence (AI) and virtual reality (VR) technologies in medicine has been significant, their application to doctor-patient communication is limited. As communicating risk is a challenging, yet essential, component of shared decision-making (SDM) in surgery, this review aims to explore the current use of AI and VR in doctor-patient surgical risk communication. METHODS: The search strategy was prepared by a medical librarian and run in 7 electronic databases. Articles were screened by a single reviewer. Included articles described the use of AI or VR applicable to surgical risk communication between patients, their families, and the surgical team. RESULTS: From 4576 collected articles, 64 were included in this review. Identified applications included decision support tools (15, 23.4%), tailored patient information resources (13, 20.3%), treatment visualization tools (17, 26.6%) and communication training platforms (19, 29.7%). Overall, these technologies enhance risk communication and SDM, despite heterogeneity in evaluation methods. However, improvements in the usability and versatility of these interventions are needed. CONCLUSIONS: There is emerging literature regarding applications of AI and VR to facilitate doctor-patient surgical risk communication. PRACTICE IMPLICATIONS: AI and VR hold the potential to personalize doctor-patient surgical risk communication to individual patients and healthcare contexts.",Patient education and counseling,Patient Educ Couns,Journal Article; Scoping Review,Antel Ryan,"Faculty of Medicine and Health Sciences, McGill University, Montreal, Canada. Electronic address: ryan.antel@mail.mcgill.ca.",10.1016/j.pec.2022.06.006,Q1,2022,discourse,Medium,2022,Cautious Optimism,sonnet,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
36920901,2023,2023 Jul,Geometric and dosimetric evaluation of deep learning based auto-segmentation for clinical target volume on breast cancer.,"BACKGROUND: Recently, target auto-segmentation techniques based on deep learning (DL) have shown promising results. However, inaccurate target delineation will directly affect the treatment planning dose distribution and the effect of subsequent radiotherapy work. Evaluation based on geometric metrics alone may not be sufficient for target delineation accuracy assessment. The purpose of this paper is to validate the performance of automatic segmentation with dosimetric metrics and try to construct new evaluation geometric metrics to comprehensively understand the dose-response relationship from the perspective of clinical application. MATERIALS AND METHODS: A DL-based target segmentation model was developed by using 186 manual delineation modified radical mastectomy breast cancer cases. The resulting DL model were used to generate alternative target contours in a new set of 48 patients. The Auto-plan was reoptimized to ensure the same optimized parameters as the reference Manual-plan. To assess the dosimetric impact of target auto-segmentation, not only common geometric metrics but also new spatial parameters with distance and relative volume (  R V ${R}_V$  ) to target were used. Correlations were performed using Spearman's correlation between segmentation evaluation metrics and dosimetric changes. RESULTS: Only strong (|R2 | > 0.6, p < 0.01) or moderate (|R2 | > 0.4, p < 0.01) Pearson correlation was established between the traditional geometric metric and three dosimetric evaluation indices to target (conformity index, homogeneity index, and mean dose). For organs at risk (OARs), inferior or no significant relationship was found between geometric parameters and dosimetric differences. Furthermore, we found that OARs dose distribution was affected by boundary error of target segmentation instead of distance and  R V ${R}_V$  to target. CONCLUSIONS: Current geometric metrics could reflect a certain degree of dose effect of target variation. To find target contour variations that do lead to OARs dosimetry changes, clinically oriented metrics that more accurately reflect how segmentation quality affects dosimetry should be constructed.",Journal of applied clinical medical physics,J Appl Clin Med Phys,Journal Article,Zhong Yang,"Department of Radiation Oncology, Fudan University Shanghai Cancer Center, Shanghai, China.",10.3171/jns.2000.93.supplement,Q2,2023,evaluative,Medium,2023,Neutral,sonnet,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
37017291,2023,2023 Oct,Implications of large language models such as ChatGPT for dental medicine.,"OBJECTIVE: This article provides an overview of the implications of ChatGPT and other large language models (LLMs) for dental medicine. OVERVIEW: ChatGPT, a LLM trained on massive amounts of textual data, is adept at fulfilling various language-related tasks. Despite its impressive capabilities, ChatGPT has serious limitations, such as occasionally giving incorrect answers, producing nonsensical content, and presenting misinformation as fact. Dental practitioners, assistants, and hygienists are not likely to be significantly impacted by LLMs. However, LLMs could affect the work of administrative personnel and the provision of dental telemedicine. LLMs offer potential for clinical decision support, text summarization, efficient writing, and multilingual communication. As more people seek health information from LLMs, it is crucial to safeguard against inaccurate, outdated, and biased responses to health-related queries. LLMs pose challenges for patient data confidentiality and cybersecurity that must be tackled. In dental education, LLMs present fewer challenges than in other academic fields. LLMs can enhance academic writing fluency, but acceptable usage boundaries in science need to be established. CONCLUSIONS: While LLMs such as ChatGPT may have various useful applications in dental medicine, they come with risks of malicious use and serious limitations, including the potential for misinformation. CLINICAL SIGNIFICANCE: Along with the potential benefits of using LLMs as an additional tool in dental medicine, it is crucial to carefully consider the limitations and potential risks inherent in such artificial intelligence technologies.",Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],J Esthet Restor Dent,"Journal Article; Review; Research Support, Non-U.S. Gov't",Eggmann Florin,"Department of Preventive and Restorative Sciences, Penn Dental Medicine, Robert Schattner Center, University of Pennsylvania, Philadelphia, Pennsylvania, USA.",10.1111/jerd.13046,Q1,2023,discourse,Medium,2023,Caution,sonnet,High,no,"{""stance"": ""Caution"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
36854881,2023,2023 Mar,The potential impact of ChatGPT in clinical and translational medicine.,,Clinical and translational medicine,Clin Transl Med,Journal Article,Baumgartner Christian,"Graz University of Technology, Institute of Health Care Engineering with European Testing Center of Medical Devices, Graz, Austria.",10.1002/ctm2.1206,Q1,2023,discourse,High,2023,Cautious Optimism,sonnet,Medium,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""Medium"", ""predictive_claim"": ""yes""}"
37495849,2023,2023 Oct,Diagnostic accuracy of artificial intelligence-aided capsule endoscopy (TOP100) in overt small bowel bleeding.,"BACKGROUND: Capsule endoscopy (CE) is the first-choice exploration in case of overt small bowel bleeding (SBB). An early CE is known to increase diagnostic yield, but long reading times may delay therapeutics. The study evaluates the diagnostic performance of the artificial intelligence tool TOP100 in patients with overt SBB undergoing early CE with Pillcam SB3. METHODS: Patients who underwent early CE (up to 14 days from the bleeding episode) for suspected overt SBB were included. One experienced endoscopist prospectively performed standard reading (SR) and a second blind experienced endoscopist performed a TOP100-based reading (TR). The primary endpoint was TR diagnostic accuracy for lesions with high bleeding potential (P2). RESULTS: A total of 111 patients were analyzed. The most common clinical presentation was melena (64%). CE showed angiodysplasias in 40.5% of patients (45/111). In per-patient analysis, TR showed a sensitivity of 90.48% (95% CI 82.09-95.80), specificity of 100% (95% CI 87.23-100) with a PPV of 100% (95% CI 94.01-100), NPV of 77.14% (95% CI 63.58-86.71) and diagnostic accuracy of 92.79 (86.29-96.84). At multivariate analysis, adequate intestinal cleansing was the only independent predictor of concordance between TR and SR (OR 2.909, p = 0.019). The median reading time for SR and TR was 23 min (18.0-26.8) and 1.9 min (range 1.7-2.1), respectively (p < 0.001). CONCLUSIONS: TOP100 provides a fast-reading mode for early CE in case of overt small bowel bleeding. It identifies most patients with active bleeding and angiodysplasias, aiding in the prioritization of therapeutic procedures. However, its accuracy in detecting ulcers, varices and P1 lesions seems insufficient.",Surgical endoscopy,Surg Endosc,"Journal Article; Research Support, Non-U.S. Gov't",Giordano Antonio,"Endoscopy Unit, Gastroenterology Department, ICMDM, Hospital Clínic de Barcelona, Barcelona, Spain.",10.1007/s10620-012-2074-y,Q1,2023,evaluative,Medium,2023,Cautious Optimism,sonnet,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
36738739,2023,2023 Feb,Integration of artificial intelligence in lung cancer: Rise of the machine.,"The goal of oncology is to provide the longest possible survival outcomes with the therapeutics that are currently available without sacrificing patients' quality of life. In lung cancer, several data points over a patient's diagnostic and treatment course are relevant to optimizing outcomes in the form of precision medicine, and artificial intelligence (AI) provides the opportunity to use available data from molecular information to radiomics, in combination with patient and tumor characteristics, to help clinicians provide individualized care. In doing so, AI can help create models to identify cancer early in diagnosis and deliver tailored therapy on the basis of available information, both at the time of diagnosis and in real time as they are undergoing treatment. The purpose of this review is to summarize the current literature in AI specific to lung cancer and how it applies to the multidisciplinary team taking care of these complex patients.",Cell reports. Medicine,Cell Rep Med,"Journal Article; Review; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Ladbury Colton,"Department of Radiation Oncology, City of Hope National Medical Center, 1500 E Duarte Road, Duarte, CA 91010, USA.",10.1101/2021.07.27.21261075,Q1,2023,discourse,Medium,2023,Cautious Optimism,sonnet,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
38109656,2024,2024 Apr,Considering the Secondary Use of Clinical and Educational Data to Facilitate the Development of Artificial Intelligence Models.,"Medical training programs and health care systems collect ever-increasing amounts of educational and clinical data. These data are collected with the primary purpose of supporting either trainee learning or patient care. Well-established principles guide the secondary use of these data for program evaluation and quality improvement initiatives. More recently, however, these clinical and educational data are also increasingly being used to train artificial intelligence (AI) models. The implications of this relatively unique secondary use of data have not been well explored. These models can support the development of sophisticated AI products that can be commercialized. While these products have the potential to support and improve the educational system, there are challenges related to validity, patient and learner consent, and biased or discriminatory outputs. The authors consider the implications of developing AI models and products using educational and clinical data from learners, discuss the uses of these products within medical education, and outline considerations that should guide the appropriate use of data for this purpose. These issues are further explored by examining how they have been navigated in an educational collaborative.",Academic medicine : journal of the Association of American Medical Colleges,Acad Med,Journal Article,Thoma Brent,,10.1097/ACM.0000000000005634,Q1,2024,discourse,Medium,2024,Caution,sonnet,High,no,"{""stance"": ""Caution"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
37946379,2024,2024 Jan,ChatGPT: Increasing accessibility for natural language processing in healthcare quality measurement.,,Infection control and hospital epidemiology,Infect Control Hosp Epidemiol,Journal Article,Wu Julie Tsu-Yu,"Department of Medicine, Palo Alto VA Healthcare System, Palo Alto, California.",10.1017/ice.2023.236,Q1,2024,discourse,Medium,2024,Cautious Optimism,sonnet,Medium,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""Medium"", ""predictive_claim"": ""yes""}"
39140014,2024,2024 Jan,Artificial intelligence at the pen's edge: Exploring the ethical quagmires in using artificial intelligence models like ChatGPT for assisted writing in biomedical research.,"Chat generative pretrained transformer (ChatGPT) is a conversational language model powered by artificial intelligence (AI). It is a sophisticated language model that employs deep learning methods to generate human-like text outputs to inputs in the natural language. This narrative review aims to shed light on ethical concerns about using AI models like ChatGPT in writing assistance in the health care and medical domains. Currently, all the AI models like ChatGPT are in the infancy stage; there is a risk of inaccuracy of the generated content, lack of contextual understanding, dynamic knowledge gaps, limited discernment, lack of responsibility and accountability, issues of privacy, data security, transparency, and bias, lack of nuance, and originality. Other issues such as authorship, unintentional plagiarism, falsified and fabricated content, and the threat of being red-flagged as AI-generated content highlight the need for regulatory compliance, transparency, and disclosure. If the legitimate issues are proactively considered and addressed, the potential applications of AI models as writing assistance could be rewarding.",Perspectives in clinical research,Perspect Clin Res,Journal Article; Review,Sharma Hunny,"Department of Community and Family Medicine, All India Institute of Medical Sciences, Raipur, Chhattisgarh, India.",10.4103/picr.picr_196_23,Q2,2024,discourse,Medium,2024,Caution,sonnet,High,no,"{""stance"": ""Caution"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
