my_label,pmid,year,pub_date,title,abstract,journal,first_author,doi,sjr_quartile,journal_abbr,pub_type,first_affiliation,haiku_label,haiku_conf
evaluative,41142548,2025,2025 Sep,Development and validation of deep learning models for qualitative classification of benign and malignant enlarged cervical lymph nodes based on ultrasound images.,"BACKGROUND: Enlargement of cervical lymph nodes (CLNs) is a common clinical response to lesions in the neck as well as in other parts of the body. Accurate qualitative diagnosis of lymph nodes can provide important reference information for clinical decision-making. While histopathological diagnosis remains the gold standard for differentiating benign from malignant CLNs, it is an invasive procedure. Ultrasonography serves as a non-invasive imaging modality widely employed in clinical practice for the preoperative evaluation and qualitative assessment of CLNs; however, its diagnostic accuracy is operator-dependent. In this study, we investigated ultrasound image features between benign and malignant CLNs and developed deep learning (DL) models for the qualitative diagnosis of CLNs. METHODS: Patients with pathologically confirmed CLNs via ultrasound-guided biopsy from January 2020 to December 2023 were retrospectively included. The gold standard was histopathological diagnosis. Ultrasound features of CLNs were documented, and their value in differentiating benign from malignant CLNs was assessed using univariate analysis. DL models were developed to qualitatively diagnose the benign and malignant CLNs. Model performance was evaluated using receiver operating characteristic curves, accuracy curves, recall curves, and loss curves. RESULTS: A total of 3,014 CLNs from 2,697 patients were included in this study, with 1,489 classified as benign cases and 1,525 as malignant cases. Almost all DL models demonstrated satisfactory performance in qualitative diagnosis of CLNs, achieving area under the curve (AUC) values ranging from 0.56 to 0.81, with the VGG16 model exhibiting the best performance with an AUC of 0.81 [95% confidence interval (CI): 0.77-0.86], accuracy of 0.73, sensitivity of 0.71, and specificity of 0.74. In comparison to ultrasonography, the VGG16, ResNet101, and ResNet50 models showed significantly superior predictive performance (P<0.05). CONCLUSIONS: DL models utilizing ultrasound images demonstrated promising performance in the qualitative diagnosis of CLNs. This approach enhanced the diagnostic accuracy of preoperative ultrasound assessment, thereby allowing a subset of patients to avoid unnecessary biopsies and optimizing clinical decision-making.",Gland surgery,Yuan Hong,10.1016/j.clinsp.2024.100541,Q2,Gland Surg,Journal Article,"Department of Ultrasound, West China Hospital, Sichuan University, Chengdu, China.",application,high
application,39860864,2025,2025 Jan,EEG-to-EEG: Scalp-to-Intracranial EEG Translation Using a Combination of Variational Autoencoder and Generative Adversarial Networks.,"A generative adversarial network (GAN) makes it possible to map a data sample from one domain to another one. It has extensively been employed in image-to-image and text-to image translation. We propose an EEG-to-EEG translation model to map the scalp-mounted EEG (scEEG) sensor signals to intracranial EEG (iEEG) sensor signals recorded by foramen ovale sensors inserted into the brain. The model is based on a GAN structure in which a conditional GAN (cGAN) is combined with a variational autoencoder (VAE), named as VAE-cGAN. scEEG sensors are plagued by noise and suffer from low resolution. On the other hand, iEEG sensor recordings enjoy high resolution. Here, we consider the task of mapping the scEEG sensor information to iEEG sensors to enhance the scEEG resolution. In this study, our EEG data contain epileptic interictal epileptiform discharges (IEDs). The identification of IEDs is crucial in clinical practice. Here, the proposed VAE-cGAN is firstly employed to map the scEEG to iEEG. Then, the IEDs are detected from the resulting iEEG. Our model achieves a classification accuracy of 76%, an increase of, respectively, 11%, 8%, and 3% over the previously proposed least-square regression, asymmetric autoencoder, and asymmetric-symmetric autoencoder mapping models.","Sensors (Basel, Switzerland)",Abdi-Sargezeh Bahman,10.1101/2024.05.09.593398,Q1,Sensors (Basel),Journal Article,"Nuffield Department of Clinical Neurosciences, University of Oxford, Oxford OX1 2JD, UK.",application,high
application,35099174,2022,2022 Feb,Multiplexed Identification of Bacterial Biofilm Infections Based on Machine-Learning-Aided Lanthanide Encoding.,"Pathogenic biofilms are up to 1000-fold more drug-resistant than planktonic pathogens and cause about 80% of all chronic infections worldwide. The lack of prompt and reliable biofilm identification methods seriously prohibits the diagnosis and treatment of biofilm infections. Here, we developed a machine-learning-aided cocktail assay for prompt and reliable biofilm detection. Lanthanide nanoparticles with different emissions, surface charges, and hydrophilicity are formulated into the cocktail kits. The lanthanide nanoparticles in the cocktail kits can offer competitive interactions with the biofilm and further maximize the charge and hydrophilicity differences between biofilms. The physicochemical heterogeneities of biofilms were transformed into luminescence intensity at different wavelengths by the cocktail kits. The luminescence signals were used as learning data to train the random forest algorithm, and the algorithm could identify the unknown biofilms within minutes after training. Electrostatic attractions and hydrophobic-hydrophobic interactions were demonstrated to dominate the binding of the cocktail kits to the biofilms. By rationally designing the charge and hydrophilicity of the cocktail kit, unknown biofilms of pathogenic clinical isolates were identified with an overall accuracy of over 80% based on the random forest algorithm. Moreover, the antibiotic-loaded cocktail nanoprobes efficiently eradicated biofilms since the nanoprobes could penetrate deep into the biofilms. This work can serve as a reliable technique for the diagnosis of biofilm infections and it can also provide instructions for the design of multiplex assays for detecting biochemical compounds beyond biofilms.",ACS nano,Wang Jie,10.1021/acsnano.1c11333,Q1,ACS Nano,"Journal Article; Research Support, Non-U.S. Gov't","Key Laboratory of Biomedical Polymers of Ministry of Education, College of Chemistry and Molecular Sciences, School of Microelectronics, Wuhan University, Wuhan 430072, China.",application,high
application,41513702,2026,2026 Jan,A MultiRater MultiOrgan Abdominal CT Dataset for Calibration Analysis and Uncertainty Modeling in Segmentation.,"In medical imaging, deep learning (DL) models often struggle to delineate ambiguous structures such as tumors or organ boundaries, leading to uncertainty in defining precise contours. This challenge is amplified by inter-rater variability, where experts may disagree on boundary delineations, resulting in inconsistent segmentation outcomes. Addressing these issues requires robust algorithms capable of quantifying uncertainty, standardizing annotation practices, and improving calibration to ensure reliable predictions, particularly in multi-class and multi-rater scenarios. When models are miscalibrated and overconfident, their outputs can mislead clinical decision-making, potentially influencing radiologists to over- or under-estimate malignancy risks. The CURVAS challenge (Calibration and Uncertainty for multiRater Volume Assessment in multiorgan Segmentation) was established to address these challenges by jointly assessing uncertainty, calibration, and segmentation quality, as well as promoting clinical relevance by evaluating organ volumes while accounting for annotation variability. To support this, a dataset of 90 contrast-enhanced CT scans from University Hospital Erlangen was curated, containing pancreas, liver, and kidney segmentations annotated by three experts. This resource provides a foundation for developing and benchmarking algorithms that balance segmentation accuracy, calibration, and reliability. A quantitative analysis of the annotations shows that kidney and liver segmentations exhibit strong consistency, whereas the pancreas remains challenging, emphasizing the need for refined labeling protocols and improved training strategies.",Scientific data,Riera-Marin Meritxell,10.1007/978-3-032-06593-3_14,Q1,Sci Data,Journal Article; Dataset,"Sycai Technologies SL, Scientific and Technical Department, Barcelona, 08018, Spain. m.riera@sycaitechnologies.com.",application,high
application,40854103,2025,2025 Sep,Gradient Porous Flexible Pressure Sensors with the Relay Effect for High-Accuracy Braille-to-Speech Recognition.,"The development of highly sensitive, wide linear-range flexible pressure sensors is crucial for practical applications in human-computer interaction, physiological signal detection, and motion monitoring. However, traditional flexible pressure sensors often suffer from limited compressibility in their structural design, resulting in rapid saturation of the detection range and low sensitivity, which hinder their commercial viability. In this study, we propose a straightforward electrospinning method to fabricate a thermoplastic polyurethane/carboxyl-functionalized multiwalled carbon nanotube/polydimethylsiloxane (TPU/c-MWCNTs/PDMS) piezoresistive sensor featuring a gradient porous structure. Owing to the gradient porous structure and PDMS surface treatment, the device exhibits significantly enhanced sensitivity and an extended linear range. The optimized sensor demonstrates a broad linear detection range of 0-200 kPa, a high sensitivity of 78.41 kPa-1, a low detection limit of 8 Pa, a fast response time of 80 ms, and exceptional durability over 10,000 loading/unloading cycles, enabling precise detection of complex human motions. Furthermore, by integrating a deep-learning algorithm, we developed an intelligent Braille-to-speech recognition system capable of accurately translating Braille alphabets and sentences into speech with recognition accuracies of 94.3 and 93.9%, respectively. This innovative structural design not only addresses the trade-off between sensitivity and linear range in flexible pressure sensors but also paves the way for advanced assistive technologies to enhance the quality of life for individuals with disabilities.",ACS sensors,Zhang Xiaoyu,10.1021/acssensors.5c02096,Q1,ACS Sens,Journal Article,"School of Integrated Circuits, Sun Yat-sen University, Shenzhen 518107, China.",application,high
application,42065041,2026,2026 Jan,AI-Guided Discovery of Oncogenic Signaling Crosstalk in Tumor Progression and Drug Resistance.,"The rapid growth and accessibility of artificial intelligence (AI) and machine learning (ML) have opened many avenues to revolutionize biomedical research, particularly in oncogenesis. Oncogenesis is a hallmark process in the development of cancer, involving the amplification of proto-oncogenes and the subsequent dysregulation of molecular signaling networks. These pathways-including the RAS/RAF/MEK/ERK, PI3K-AKT, JAK-STAT, TGF-β/Smad, Wnt/β-Catenin, and Notch cascades-have been studied extensively in isolation, with major strides achieved in understanding how they drive cancer. However, there are still many considerations regarding how these networks interact. Ongoing studies show that crosstalk among these pathways occurs through feedback loops, shared intermediates, and compensatory activation, creating a complex network that enables tumor cells to adapt and metastasize. New developments in AI and ML have enabled modeling and prediction of these interactions for pathway discovery, mapping oncogenic crosstalk, predicting drug resistance and therapeutic responses, and complex data analysis. Novel technologies such as feature selection algorithms and convolutional neural networks have demonstrated immense translational potential to bridge computational predictions in cancer genomics with clinical applications. Similar models have also proven useful for learning from genomic datasets and reducing multidimensionality in heterogeneous multiomics data. As current AI/ML approaches continue to develop, it is also important to consider the limitations of batch effects, model generalizability, and potential bias in training datasets. This review aims to integrate the most recent AI and ML applications in uncovering the hidden interactions within oncogenic networks that drive tumorigenesis, heterogeneity, and resistance to therapies. Moreover, this review aims to synthesize the functionality of emerging computational methods that elucidate these insights, as well as the transformative implications of AI-guided systems biology on precision oncology and combinatorial therapies.",Oncology research,Sutanto Edward,10.1038/s41746-025-01503-7,Q1,Oncol Res,Journal Article; Review,"CUNY School of Medicine, The City College of New York, New York, NY, USA.",application,high
discourse,38902420,2024,2024 Sep,Artificial intelligence in musculoskeletal imaging: realistic clinical applications in the next decade.,"This article will provide a perspective review of the most extensively investigated deep learning (DL) applications for musculoskeletal disease detection that have the best potential to translate into routine clinical practice over the next decade. Deep learning methods for detecting fractures, estimating pediatric bone age, calculating bone measurements such as lower extremity alignment and Cobb angle, and grading osteoarthritis on radiographs have been shown to have high diagnostic performance with many of these applications now commercially available for use in clinical practice. Many studies have also documented the feasibility of using DL methods for detecting joint pathology and characterizing bone tumors on magnetic resonance imaging (MRI). However, musculoskeletal disease detection on MRI is difficult as it requires multi-task, multi-class detection of complex abnormalities on multiple image slices with different tissue contrasts. The generalizability of DL methods for musculoskeletal disease detection on MRI is also challenging due to fluctuations in image quality caused by the wide variety of scanners and pulse sequences used in routine MRI protocols. The diagnostic performance of current DL methods for musculoskeletal disease detection must be further evaluated in well-designed prospective studies using large image datasets acquired at different institutions with different imaging parameters and imaging hardware before they can be fully implemented in clinical practice. Future studies must also investigate the true clinical benefits of current DL methods and determine whether they could enhance quality, reduce error rates, improve workflow, and decrease radiologist fatigue and burnout with all of this weighed against the costs.",Skeletal radiology,Ruitenbeek Huibert C,10.1016/S0735-6757(96)90044-3,Q2,Skeletal Radiol,Journal Article; Review,"Department of Radiology and Nuclear Medicine, Erasmus MC, University Medical Center, P.O. Box 2040, 3000 CA, Rotterdam, The Netherlands.",discourse,high
application,38483948,2024,2024 Jan,Deep learning in public health: Comparative predictive models for COVID-19 case forecasting.,"The COVID-19 pandemic has had a significant impact on both the United Arab Emirates (UAE) and Malaysia, emphasizing the importance of developing accurate and reliable forecasting mechanisms to guide public health responses and policies. In this study, we compared several cutting-edge deep learning models, including Long Short-Term Memory (LSTM), bidirectional LSTM, Convolutional Neural Networks (CNN), hybrid CNN-LSTM, Multilayer Perceptron's, and Recurrent Neural Networks (RNN), to project COVID-19 cases in the aforementioned regions. These models were calibrated and evaluated using a comprehensive dataset that includes confirmed case counts, demographic data, and relevant socioeconomic factors. To enhance the performance of these models, Bayesian optimization techniques were employed. Subsequently, the models were re-evaluated to compare their effectiveness. Analytic approaches, both predictive and retrospective in nature, were used to interpret the data. Our primary objective was to determine the most effective model for predicting COVID-19 cases in the United Arab Emirates (UAE) and Malaysia. The findings indicate that the selected deep learning algorithms were proficient in forecasting COVID-19 cases, although their efficacy varied across different models. After a thorough evaluation, the model architectures most suitable for the specific conditions in the UAE and Malaysia were identified. Our study contributes significantly to the ongoing efforts to combat the COVID-19 pandemic, providing crucial insights into the application of sophisticated deep learning algorithms for the precise and timely forecasting of COVID-19 cases. These insights hold substantial value for shaping public health strategies, enabling authorities to develop targeted and evidence-based interventions to manage the virus spread and its impact on the populations of the UAE and Malaysia. The study confirms the usefulness of deep learning methodologies in efficiently processing complex datasets and generating reliable projections, a skill of great importance in healthcare and professional settings.",PloS one,Tariq Muhammad Usman,10.1016/j.dsx.2020.05.008,Q1,PLoS One,Journal Article; Retracted Publication,"Abu Dhabi University, Abu Dhabi, United Arab Emirates.",application,high
application,40586715,2025,2025 Jul,BIScreener: enhancing breast cancer ultrasound diagnosis through integrated deep learning with interpretability.,"Breast cancer is the leading cause of death among women worldwide, and early detection through the standardized BI-RADS framework helps physicians assess the risk of malignancy and guide appropriate diagnostic and treatment decisions. In this study, an interpretable deep learning model (BIScreener) was proposed for predicting BI-RADS classifications from breast ultrasound images, aiding in the accurate assessment of breast cancer risk and improving diagnostic efficiency. BIScreener utilizes the stacked generalization of three pretrained convolutional neural networks to analyze ultrasound images obtained from two specific instruments (Mindray R5 and HITACHI) used at local hospitals. BIScreener achieved a classification total accuracy of 90.0% and ROC-AUC value of 0.982 in the external test set for five BI-RADS categories. The proposed method achieved 83.8% classification total accuracy and 0.967 ROC-AUC value for seven BI-RADS categories. In addition, the model improved the diagnostic accuracy of two radiologists by more than 8.1% for five BI-RADS categories and by more than 4.8% for seven BI-RADS categories and reduced the explanation time by more than 19.0%, demonstrating its potential to accelerate and improve the breast cancer diagnosis process.",Analytical methods : advancing methods and applications,Chen Yao,10.1039/d5ay00475f,Q2,Anal Methods,Journal Article,"Hunan Key Lab of Biomedical Materials and Devices, College of Life Sciences and Chemistry, Hunan University of Technology, Zhuzhou, 412007, PR China.",application,high
application,40459739,2025,2025 Dec,Effect of contrast enhancement on diagnosis of interstitial lung abnormality in automatic quantitative CT measurement.,"OBJECTIVE: To investigate the effect of contrast enhancement on the diagnosis of interstitial lung abnormalities (ILA) in automatic quantitative CT measurement in patients with paired pre- and post-contrast scans. MATERIALS AND METHODS: Patients who underwent chest CT for thoracic surgery between April 2017 and December 2020 were retrospectively analyzed. ILA quantification was performed using deep learning-based automated software. Cases were categorized as ILA or non-ILA according to the Fleischner Society's definition, based on the quantification results or radiologist assessment (reference standard). Measurement variability, agreement, and diagnostic performance between the pre- and post-contrast scans were evaluated. RESULTS: In 1134 included patients, post-contrast scans quantified a slightly larger volume of nonfibrotic ILA (mean difference: -0.2%), due to increased ground-glass opacity and reticulation volumes (-0.2% and -0.1%), whereas the fibrotic ILA volume remained unchanged (0.0%). ILA was diagnosed in 15 (1.3%), 22 (1.9%), and 40 (3.5%) patients by pre- and post-contrast scans and radiologists, respectively. The agreement between the pre- and post-contrast scans was substantial (κ = 0.75), but both pre-contrast (κ = 0.46) and post-contrast (κ = 0.54) scans demonstrated moderate agreement with the radiologist. The sensitivity for ILA (32.5% vs. 42.5%, p = 0.221) and specificity for non-ILA (99.8% vs. 99.5%, p = 0.248) were comparable between pre- and post-contrast scans. Radiologist's reclassification for equivocal ILA due to unilateral abnormalities increased the sensitivity for ILA (67.5% and 75.0%, respectively) in both pre- and post-contrast scans. CONCLUSION: Applying automated quantification on post-contrast scans appears to be acceptable in terms of agreement and diagnostic performance; however, radiologists may need to improve sensitivity reclassifying equivocal ILA. KEY POINTS: Question The effect of contrast enhancement on the automated quantification of interstitial lung abnormality (ILA) remains unknown. Findings Automated quantification measured slightly larger ground-glass opacity and reticulation volumes on post-contrast scans than on pre-contrast scans; however, contrast enhancement did not affect the sensitivity for interstitial lung abnormality. Clinical relevance Applying automated quantification on post-contrast scans appears to be acceptable in terms of agreement and diagnostic performance.",European radiology,Choi Jaeyeon,10.1016/j.ejrad.2009.03.023,Q1,Eur Radiol,Journal Article,"Department of Radiology and Research Institute of Radiology, University of Ulsan College of Medicine, Asan Medical Center, Seoul, Republic of Korea.",application,high
application,37585662,2024,2024 Jan,Circulating Biomarkers Instead of Genotyping to Establish Metabolizer Phenotypes.,"Pharmacogenomics (PGx) enables personalized treatment for the prediction of drug response and to avoid adverse drug reactions. Currently, PGx mainly relies on the genetic information of absorption, distribution, metabolism, and excretion (ADME) targets such as drug-metabolizing enzymes or transporters to predict differences in the patient's phenotype. However, there is evidence that the phenotype-genotype concordance is limited. Thus, we discuss different phenotyping strategies using exogenous xenobiotics (e.g., drug cocktails) or endogenous compounds for phenotype prediction. In particular, minimally invasive approaches focusing on liquid biopsies offer great potential to preemptively determine metabolic and transport capacities. Early studies indicate that ADME phenotyping using exosomes released from the liver is reliable. In addition, pharmacometric modeling and artificial intelligence improve phenotype prediction. However, further prospective studies are needed to demonstrate the clinical utility of individualized treatment based on phenotyping strategies, not only relying on genetics. The present review summarizes current knowledge and limitations.",Annual review of pharmacology and toxicology,Tremmel Roman,10.1146/annurev-pharmtox-032023-121106,Q1,Annu Rev Pharmacol Toxicol,"Journal Article; Review; Research Support, Non-U.S. Gov't","Dr. Margarete Fischer-Bosch-Institute of Clinical Pharmacology, Stuttgart, Germany; email: matthias.schwab@ikp-stuttgart.de.",application,high
application,40184565,2025,2025 Apr,Leveraging Artificial Intelligence to Uncover Symptom Burden in Palliative Care: Analysis of Nonscheduled Visits Using a Phi-3 Small Language Model.,"PURPOSE: This study aimed to differentiate nonscheduled visits (NSVs) in an outpatient palliative care setting that are driven by or accompanied by uncontrolled symptoms from those that are administrative or routine, such as prescription refills and examination readings. A small language model (SLM) was used to enhance the detection and management of symptoms, thus improving health care resource allocation. METHODS: A retrospective analysis was performed on 25,867 patient visits to an outpatient palliative care unit, including 7,036 NSVs. A stratified random sample of 384 NSVs was reviewed to determine the presence of symptoms, using physician audits as the gold standard. A Phi-3-based SLM was validated against these audits to assess its accuracy in detecting the symptoms. The validated SLM was then applied to the entire NSV data set to identify symptom patterns. Multivariate linear regression was used to analyze the association of age, cancer type, and insurance category with the presence of symptoms. RESULTS: SLM demonstrated high sensitivity (99.4%) and accuracy (95.3%) in identifying symptom-driven NSVs. The analysis revealed that 85.7% of the NSVs were driven by symptoms, indicating a significant hidden burden of unmanaged symptoms. The study found that certain demographic and clinical factors, including younger age groups and specific cancer types, were significantly associated with an increased symptom burden. CONCLUSION: This study highlights the substantial burden of symptom-driven NSVs in palliative care and demonstrates the effectiveness of using a SLM to identify and manage symptoms. Implementing such models in clinical practice can improve patient care by optimizing the allocation of health care resources and tailoring interventions to the needs of patients with advanced illnesses.",JCO global oncology,Retamales Javier,10.1200/GO-24-00432,Q2,JCO Glob Oncol,Journal Article,"Hospital Sotero del Río, Santiago, Chile.",application,high
application,41039349,2025,2025 Oct,Construction of diagnostic model and subtype analysis of major depressive disorder based on PANoptosis key genes.,"BACKGROUND: Major depressive disorder (MDD) is a serious neuropsychiatric disorder. While emerging evidence suggests that PANoptosis may play a role in MDD pathogenesis, the precise involvement of PANoptosis-related genes remains unclear. METHODS: The study conducted a systematic bioinformatics investigation utilizing the GSE98793 dataset. First, we identified differentially expressed PANoptosis-related genes (DE-PRGs). Second, Gene ontology (GO) enrichment analysis and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analysis were carried out based on DE-PRGs. Additionally, Random Forest analysis, LASSO regression analysis, immune infiltration analysis, consensus cluster analysis, and single sample genome enrichment analysis were performed. Finally, the expression levels of PANoptosis key genes (PKGs) in MDD were verified using qRT-PCR. RESULTS: Eight PKGs associated with MDD were identified: TRAF1, TNFSF13, TLR2, SH2D1A, RNF144B, ICAM1, HK2, and ADA. Moreover, these PKGs enabled construction of a diagnostic model for MDD PANoptosis risk and stratification of MDD patients into two distinct PANoptosis subtypes (cluster 1 and cluster 2) with differential immune characteristics. Notably, RNF144B and HK2 demonstrated neutrophil-stimulating potential and significant upregulation in MDD patients. CONCLUSION: This study established a PANoptosis-based diagnostic framework for MDD and identified PANoptosis-stratified MDD subtypes, providing compelling evidence for PANoptosis-mediated immune dysregulation in MDD pathogenesis. These results offered a novel perspective for the diagnosis and management of MDD.",BMC psychiatry,Zhang Huan,10.1016/j.jvs.2016.04.026,Q1,BMC Psychiatry,Journal Article,"Department of Psychology and Psychiatry, The Second Affiliated Hospital of Xi'an Jiaotong, University College of Medicine, Xi'an, Shanxi, 710004, China. Zh_huan78@163.com.",application,high
application,39157521,2024,2024 Jan,"Predictive modeling and socioeconomic determinants of diarrhea in children under five in the Amhara Region, Ethiopia.","BACKGROUND: Diarrheal disease, characterized by high morbidity and mortality rates, continues to be a serious public health concern, especially in developing nations such as Ethiopia. The significant burden it imposes on these countries underscores the importance of identifying predictors of diarrhea. The use of machine learning techniques to identify significant predictors of diarrhea in children under the age of 5 in Ethiopia's Amhara Region is not well documented. Therefore, this study aimed to clarify these issues. METHODS: This study's data have been extracted from the Ethiopian Population and Health Survey. We have applied machine learning ensemble classifier models such as random forests, logistic regression, K-nearest neighbors, decision trees, support vector machines, gradient boosting, and naive Bayes models to predict the determinants of diarrhea in children under the age of 5 in Ethiopia. Finally, Shapley Additive exPlanation (SHAP) value analysis was performed to predict diarrhea. RESULT: Among the seven models used, the random forest algorithm showed the highest accuracy in predicting diarrheal disease with an accuracy rate of 81.03% and an area under the curve of 86.50%. The following factors were investigated: families who had richest wealth status (log odd of -0.04), children without a history of Acute Respiratory Infections (ARIs) (log odd of -0.08), mothers who did not have a job (log odd of -0.04), children aged between 23 and 36 months (log odd of -0.03), mothers with higher education (log odds ratio of -0.03), urban dwellers (log odd of -0.01), families using electricity as cooking material (log odd of -0.12), children under 5 years of age living in the Amhara region of Ethiopia who did not show signs of wasting, children under 5 years of age who had not taken medications for intestinal parasites unlike their peers and who showed a significant association with diarrheal disease. CONCLUSION: We recommend implementing programs to reduce the incidence of diarrhea in children under the age of 5 in the Amhara region. These programs should focus on removing socioeconomic barriers that impede mothers' access to wealth, a favorable work environment, cooking fuel, education, and healthcare for their children.",Frontiers in public health,Kassaw Abdulaziz Kebede,10.1038/s41524-019-0221-0,Q1,Front Public Health,Journal Article,"Department of Health Informatics, College of Medicine and Health Sciences, Wollo University, Dessie, Ethiopia.",application,high
evaluative,39325081,2025,2025 Mar,An Artificial Intelligence Algorithm Integrated into the Clinical Workflow Can Ensure High Quality Acute Intracranial Hemorrhage CT Diagnostic.,"PURPOSE: Intracranial hemorrhage (ICH) is a life-threatening condition requiring rapid diagnostic and therapeutic action. This study evaluates whether Artificial intelligence (AI) can provide high-quality ICH diagnostics and turnaround times suitable for routine radiological practice. METHODS: A convolutional neural network (CNN) was trained and validated to detect ICHs on DICOM images of cranial CT (CCT) scans, utilizing about 674,000 individually labeled slices. The CNN was then incorporated into a commercial AI engine and seamlessly integrated into three pilot centers in Germany. A real-world test-dataset was extracted and manually annotated by two experienced experts. The performance of the AI algorithm against the two raters was assessed and compared to the inter-rater agreement. The overall time ranging from data acquisition to the delivery of the AI results was analyzed. RESULTS: Out of 6284 CCT examinations acquired in three different centers, 947 (15%) had ICH. Breakdowns of hemorrhage types included 8% intraparenchymal, 3% intraventricular, 6% subarachnoidal, 7% subdural, < 1% epidural hematomas. Comparing the AI's performance on a subset of 255 patients with two expert raters, it achieved a sensitivity of 0.90, a specificity of 0.96, an accuracy of 0.96. The corresponding inter-rater agreement was 0.84, 0.98, and 0.96. The overall median processing times for the three centers were 9, 11, and 12 min, respectively. CONCLUSION: We showed that an AI algorithm for the automatic detection of ICHs can be seamlessly integrated into clinical workflows with minimal turnaround time. The accuracy was on par with radiology experts, making the system suitable for routine clinical use.",Clinical neuroradiology,Villringer K,10.1148/ryai.210115,Q1,Clin Neuroradiol,Journal Article; Multicenter Study,"Center for Stroke Research Berlin, Universitätsmedizin Berlin, Berlin, Germany. kersten.villringer@charite.de.",evaluative,high
application,41066999,2026,2026 Feb,WaveNet-SF: A hybrid network for retinal disease detection based on wavelet transform in spatial-frequency domain.,"Retinal diseases are a leading cause of vision impairment and blindness, with timely diagnosis being critical for effective treatment. Optical Coherence Tomography (OCT) has become a standard imaging modality for retinal disease diagnosis, but OCT images often suffer from issues such as speckle noise, complex lesion shapes, and varying lesion sizes, making interpretation challenging. In this paper, we propose a novel model, WaveNet-SF, to enhance retinal disease detection by integrating the spatial-domain and frequency-domain learning. The framework utilizes wavelet transforms to decompose OCT images into low- and high-frequency components, enabling the model to extract both global structural features and fine-grained details. To improve lesion detection, we introduce a Multi-Scale Wavelet Spatial Attention (MSW-SA) module, which enhances the model's focus on regions of interest at multiple scales. Additionally, a High-Frequency Feature Compensation (HFFC) block is incorporated to recover edge information lost during wavelet decomposition, suppress noise, and preserve fine details crucial for lesion detection. Our approach achieves state-of-the-art (SOTA) classification accuracies of 97.82 % and 99.58 % on the OCT-C8 and OCT2017 datasets, respectively, surpassing existing methods. These results demonstrate the efficacy of WaveNet-SF in addressing the challenges of OCT image analysis and its potential as a powerful tool for retinal disease diagnosis.",Neural networks : the official journal of the International Neural Network Society,Cheng Jilan,10.1016/j.neunet.2025.108189,Q1,Neural Netw,Journal Article,"School of Information Engineering, Nanchang University, Nanchang 330031, China. Electronic address: 6003122043@email.ncu.edu.cn.",application,high
application,41777029,2026,2026 Mar,Imaging-based prognostic factors in patients undergoing thermal ablation for colorectal liver metastases. A retrospective study on the role of sarcopenia parameters and tumor burden score.,"BACKGROUND: To investigate imaging-based prognostic factors in patients who underwent thermal ablation for colorectal liver metastases (CRLM), with a focus on sarcopenia-related body composition parameters and L1-bone-density in comparison to tumor burden score (TBS). PATIENTS AND METHODS: A retrospective analysis was conducted on patients who received thermal ablation for CRLM at our tertiary care center between 2009 and 2023. CT-derived body composition metrics included the psoas muscle volume index (PMVI), the psoas muscle index (PMI), and L1-bone-density. PMVI was automatically extracted using the open-source deep learning tool TotalSegmentator. Comparisons between 1-year survivors and non-survivors were performed using unpaired t-tests. RESULTS: A total of 88 patients were included, most had previously undergone hepatic resection (n = 72, 82%). Among sarcopenia-related imaging markers, PMVI showed a significant association with 1-year survival (p = 0.048), with higher PMVI values observed in survivors (mean 113.3 cm3/m3) compared to non-survivors (mean 101.3 cm3/m3). No significant differences were observed for L1-density (p = 0.925) or PMI (p = 0.137). Similarly, the TBS was not significantly associated with 1-year survival (p = 0.182). CONCLUSIONS: In our cohort of patients treated with thermal ablation for CRLM, PMVI showed significant association with 1-year survival, which was not observed for conventional tumor burden score or other sarcopenia-related imaging parameters.",Radiology and oncology,Moos Maximilian,10.1016/j.ejca.2015.12.030,Q2,Radiol Oncol,"Journal Article; Research Support, Non-U.S. Gov't","Department of Diagnostic and Interventional Radiology, University Medical Center Mainz, Mainz, Germany.",application,high
application,39828884,2025,2025 May,Predicting doxorubicin-induced cardiotoxicity in breast cancer: leveraging machine learning with synthetic data.,"Doxorubicin (DOXO) is a primary treatment for breast cancer but can cause cardiotoxicity in over 25% of patients within the first year post-chemotherapy. Recognizing at-risk patients before DOXO initiation offers pathways for alternative treatments or early protective actions. We analyzed data from 78 Brazilian breast cancer patients, with 34.6% developing cardiotoxicity within a year of their final DOXO dose. To address the limited sample size, we utilized the DAS (Data Augmentation and Smoothing) method, creating 4892 synthetic samples that exhibited high statistics fidelity to the original data. By integrating routine blood biomarkers (C-Reactive protein, total cholesterol, LDL-c, HDL-c, hematocrit, and hemoglobin) and two clinical measures (weighted smoking status and body mass index), our model achieved an AUROC of 0.85±0.10, a sensitivity of 0.89, and a specificity of 0.69, positioning it as a potential screening instrument. Notably, DAS outperformed the established methods, Adaptive Synthetic Sampling (ADASYN), Synthetic Minority Over-Sampling Technique (SMOTE), and Synthetic Data Vault (SDV), underscoring its promise for medical synthetic data generation and pioneering a cardiotoxicity prediction model specifically for DOXO.",Medical & biological engineering & computing,Araújo Daniella Castro,10.1089/ars.2013.5378,Q2,Med Biol Eng Comput,Journal Article,"Huna, São Paulo, SP, Brazil. dani@huna-ai.com.",application,high
