pmid,year,pub_date,title,abstract,journal,journal_abbr,pub_type,first_author,first_affiliation,doi,sjr_quartile,pub_year,stance,stance_model,confidence,predictive_claim,stance_raw
33430742,2021,2021 Jan,Prediction Models and Scores in Adult Congenital Heart Disease.,"Nowadays, most patients with congenital heart disease survive to adulthood due to advances in pediatric cardiac surgery but often present with various comorbidities and long-term complications, posing challenges in their management. The development and clinical use of risk scores for the prediction of morbidity and/or mortality in adults with congenital heart disease (ACHD) is fundamental in achieving optimal management for these patients, including appropriate follow-up frequency, treatment escalation, and timely referral for invasive procedures or heart transplantation. In comparison with other fields of cardiovascular medicine, there are relatively few studies that report prediction models developed in the ACHD population, given the small sample size, heterogeneity of the population, and relatively low event rate. Some studies report risk scores originally developed in pediatric congenital or non-congenital population, externally validated in ACHD with variable success. Available risk scores are designed to predict heart failure or arrhythmic events, all-cause mortality, post-intervention outcomes, infective endocarditis, or atherosclerosis-related cardiovascular disease in ACHD. A substantial number of these scores are derived from retrospective studies and are not internally or externally validated. Adequately validated risk scores can be invaluable in clinical practice and an important step towards personalized medicine. Multicenter collaboration, adequate study design, and the potential use of artificial intelligence are important elements in the effort to develop reliable risk scores for the ACHD population.",Current pharmaceutical design,Curr Pharm Des,"Journal Article; Research Support, Non-U.S. Gov't",Arvanitaki Alexandra,"Department of Cardiology III - Adult Congenital and Valvular Heart Disease, University Hospital Muenster, Albert-Schweitzer- Campus 1, 48149, Muenster, Germany.",10.2174/1381612827999210111181554,Q2,2021,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
32962932,2021,2021 Jan,Artificial Intelligence in Echocardiography for Anesthesiologists.,"Echocardiography is a unique diagnostic tool for intraoperative monitoring and assessment of patients with cardiovascular diseases. However, there are high levels of interoperator variations in echocardiography interpretations that could lead to inaccurate diagnosis and incorrect treatment. Furthermore, anesthesiologists are faced with the additional challenge to interpret echocardiography and make decisions in a limited timeframe from these complex data. The need for an automated, less operator-dependent process that enhances speed and accuracy of echocardiography analysis is crucial for anesthesiologists. Artificial intelligence is playing an increasingly important role in the medical field and could help anesthesiologists analyze complex echocardiographic data while adding increased accuracy and consistency to interpretation. This review aims to summarize practical use of artificial intelligence in echocardiography and discusses potential limitations and challenges in the future for anesthesiologists.",Journal of cardiothoracic and vascular anesthesia,J Cardiothorac Vasc Anesth,Journal Article; Review,Chen Xia,"Department of Anesthesiology, Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China.",10.1053/j.jvca.2020.08.048,Q2,2021,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
34377105,2021,2021 Jan,MRI Image Segmentation Model with Support Vector Machine Algorithm in Diagnosis of Solitary Pulmonary Nodule.,"This study focused on the application value of MRI images processed by a Support Vector Machine (SVM) algorithm-based model in diagnosis of benign and malignant solitary pulmonary nodule (SPN). The SVM algorithm was constrained by a self-paced regularization item and gradient value to establish the MRI image segmentation model (SVM-L) for lung. Its performance was compared factoring into the Dice index (DI), sensitivity (SE), specificity (SP), and Mean Square Error (MSE). 28 SPN patients who underwent the parallel MRI examination were selected as research subjects and were divided into the benign group (11 patients) and malignant group (17 patients) according to different plans for diagnosis and treatment. The apparent diffusion coefficient (ADC) at different b values was analyzed, and the steepest slope (SS) and washout ratio (WR) values in the two groups were calculated. The result showed that the MSE, DI, SE, SP values, and operation time of the SVM-L model were (0.41 ± 0.02), (0.84 ± 0.13), (0.89 ± 0.04), (0.993 ± 0.004), and (30.69 ± 2.60)s, respectively, apparently superior to those of the other algorithms, but there were no statistic differences (P > 0.05) in the WR value between the two groups of patients. The SS values of the time-signal curve in the benign and malignant groups were (2.52 ± 0.69) %/s and (3.34 ± 00.41) %/s, respectively. Obviously, the SS value of the benign group was significantly lower than that of the malignant group (P < 0.01). The ADC value with different b values in the benign group was significantly lower than that of the malignant group (P < 0.01). It suggested that the SVM-L model significantly improved the quality of lung MRI images and increased the accuracy to differentiate benign and malignant SPN, providing reference for the diagnosis and treatment of SPN patients.",Contrast media & molecular imaging,Contrast Media Mol Imaging,Journal Article,Feng Bo,"Department of Radiology, Hangzhou Ninth People's Hospital, No. 98 Yilong Road, Yipeng Street, Qiantang District, Hangzhou 311225, Zhejiang Province, China.",10.1080/17476348.2020.1697853,Q2,2021,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
34584193,2021,2021 Sep,Deep learning-based virtual cytokeratin staining of gastric carcinomas to measure tumor-stroma ratio.,"The tumor-stroma ratio (TSR) determined by pathologists is subject to intra- and inter-observer variability. We aimed to develop a computational quantification method of TSR using deep learning-based virtual cytokeratin staining algorithms. Patients with 373 advanced (stage III [n = 171] and IV [n = 202]) gastric cancers were analyzed for TSR. Moderate agreement was observed, with a kappa value of 0.623, between deep learning metrics (dTSR) and visual measurement by pathologists (vTSR) and the area under the curve of receiver operating characteristic of 0.907. Moreover, dTSR was significantly associated with the overall survival of the patients (P = 0.0024). In conclusion, we developed a virtual cytokeratin staining and deep learning-based TSR measurement, which may aid in the diagnosis of TSR in gastric cancer.",Scientific reports,Sci Rep,"Journal Article; Observational Study; Research Support, Non-U.S. Gov't",Hong Yiyu,"Department of R&D Center, Arontier Co., Ltd, Seoul, Republic of Korea.",10.1001/jamaoncol.2019.1943,Q1,2021,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
34300673,2021,2021 Jul,F-Classify: Fuzzy Rule Based Classification Method for Privacy Preservation of Multiple Sensitive Attributes.,"With the advent of smart health, smart cities, and smart grids, the amount of data has grown swiftly. When the collected data is published for valuable information mining, privacy turns out to be a key matter due to the presence of sensitive information. Such sensitive information comprises either a single sensitive attribute (an individual has only one sensitive attribute) or multiple sensitive attributes (an individual can have multiple sensitive attributes). Anonymization of data sets with multiple sensitive attributes presents some unique problems due to the correlation among these attributes. Artificial intelligence techniques can help the data publishers in anonymizing such data. To the best of our knowledge, no fuzzy logic-based privacy model has been proposed until now for privacy preservation of multiple sensitive attributes. In this paper, we propose a novel privacy preserving model F-Classify that uses fuzzy logic for the classification of quasi-identifier and multiple sensitive attributes. Classes are defined based on defined rules, and every tuple is assigned to its class according to attribute value. The working of the F-Classify Algorithm is also verified using HLPN. A wide range of experiments on healthcare data sets acknowledged that F-Classify surpasses its counterparts in terms of privacy and utility. Being based on artificial intelligence, it has a lower execution time than other approaches.","Sensors (Basel, Switzerland)",Sensors (Basel),Journal Article,Attaullah Hasina,"Department of Computer Sciences, COMSATS University, Islamabad 45550, Pakistan.",10.1109/TC.2015.2458862,Q1,2021,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
34026615,2021,2021 Jan,A Preliminary Experience of Implementing Deep-Learning Based Auto-Segmentation in Head and Neck Cancer: A Study on Real-World Clinical Cases.,"PURPOSE: While artificial intelligence has shown great promise in organs-at-risk (OARs) auto segmentation for head and neck cancer (HNC) radiotherapy, to reach the level of clinical acceptance of this technology in real-world routine practice is still a challenge. The purpose of this study was to validate a U-net-based full convolutional neural network (CNN) for the automatic delineation of OARs of HNC, focusing on clinical implementation and evaluation. METHODS: In the first phase, the CNN was trained on 364 clinical HNC patients' CT images with annotated contouring from routine clinical cases by different oncologists. The automated delineation accuracy was quantified using the Dice similarity coefficient (DSC) and 95% Hausdorff distance (HD). To assess efficiency, the time required to edit the auto-contours to a clinically acceptable standard was evaluated by a questionnaire. For subjective evaluation, expert oncologists (more than 10 years' experience) were randomly presented with automated delineations or manual contours of 15 OARs for 30 patient cases. In the second phase, the network was retrained with an additional 300 patients, which were generated by pre-trained CNN and edited by oncologists until to meet clinical acceptance. RESULTS: Based on DSC, the CNN performed best for the spinal cord, brainstem, temporal lobe, eyes, optic nerve, parotid glands and larynx (DSC >0.7). Higher conformity for the OARs delineation was achieved by retraining our architecture, largest DSC improvement on oral cavity (0.53 to 0.93). Compared with the manual delineation time, after using auto-contouring, this duration was significantly shortened from hours to minutes. In the subjective evaluation, two observes showed an apparent inclination on automatic OARs contouring, even for relatively low DSC values. Most of the automated OARs segmentation can reach the clinical acceptance level compared to manual delineations. CONCLUSIONS: After retraining, the CNN developed for OARs automated delineation in HNC was proved to be more robust, efficiency and consistency in clinical practice. Deep learning-based auto-segmentation shows great potential to alleviate the labor-intensive contouring of OAR for radiotherapy treatment planning.",Frontiers in oncology,Front Oncol,Journal Article,Zhong Yang,"Department of Radiation Oncology, Fudan University Shanghai Cancer Center, Shanghai, China.",10.1088/0031-9155/56/14/021,Q1,2021,Cautious Optimism,haiku,High,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""yes""}"
34614981,2021,2021 Aug,End-to-end computational optics with a singlet lens for large depth-of-field imaging.,"Large depth-of-field (DOF) imaging with a high resolution is useful for applications ranging from robot vision to bio-imaging. However, it is challenging to construct an optical system with both a high resolution and large DOF. The common solution is to design relatively complex optical systems, but the setup of such systems is often bulky and expensive. In this paper, we propose a novel, compact, and low-cost method for large-DOF imaging. The core concept is to (1) design an aspherical lens with a depth-invariant point spread function to enable uniform image blurring over the whole depth range and (2) construct a deep learning network to reconstruct images with high fidelity computationally. The raw images captured by the aspherical lens are deblurred by the trained network, which enables large-DOF imaging at a smaller F number. Experimental results demonstrate that our end-to-end computational imager can achieve enhanced imaging performance. It can reduce loss by up to 46.5% compared to inherited raw images. With the capabilities of high-resolution and large-DOF imaging, the proposed method is promising for applications such as microscopic pathological diagnosis, virtual/augmented reality displays, and smartphone photography.",Optics express,Opt Express,Journal Article,Liu Yuankun,,10.1364/OE.433067,Q1,2021,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
33929707,2021,2021 Dec,Can robotics be the future of ophthalmic surgery?,The future of robotic ophthalmologic surgery looks promising. Innovations in robotic technology and artificial intelligence may provide an ideal machine-human interface with planned and precise movements minimizing unwanted tissue damage and improving clinical outcomes.,Journal of robotic surgery,J Robot Surg,Journal Article,Verma Yash,"Humanitas University, Milan, Italy. yash.verma@st.hunimed.eu.",10.1167/tvst.6.3.21,Q2,2021,Cautious Optimism,haiku,High,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""yes""}"
34556746,2021,2021 Sep,Predicting medication adherence using ensemble learning and deep learning models with large scale healthcare data.,"Clinical studies from WHO have demonstrated that only 50-70% of patients adhere properly to prescribed drug therapy. Such adherence failure can impact therapeutic efficacy for the patients in question and compromises data quality around the population-level efficacy of the drug for the indications targeted. In this study, we applied various ensemble learning and deep learning models to predict medication adherence among patients. Our contribution to this endeavour involves targeting the problem of adherence prediction for a particularly challenging class of patients who self-administer injectable medication at home. Our prediction pipeline, based on event history, comprises a connected sharps bin which aims to help patients better manage their condition and improve outcomes. In other words, the efficiency of interventions can be significantly improved by prioritizing the patients who are most likely to be non-adherent. The collected data comprising a rich event feature set may be exploited for the purposes of predicting the status of the next adherence state for individual patients. This paper reports on how this concept can be realized through an investigation using a wide range of ensemble learning and deep learning models on a real-world dataset collected from such a system. The dataset investigated comprises 342,174 historic injection disposal records collected over the course of more than 5 years. A comprehensive comparison of different models is given in this paper. Moreover, we demonstrate that the selected best performer, long short-term memory (LSTM), generalizes well by deploying it in a true future testing dataset. The proposed end-to-end pipeline is capable of predicting patient failure in adhering to their therapeutic regimen with 77.35 % accuracy (Specificity: 78.28 %, Sensitivity: 76.42%, Precision: 77.87%,F1 score: 0.7714, ROC AUC: 0.8390).",Scientific reports,Sci Rep,"Journal Article; Research Support, Non-U.S. Gov't",Gu Yingqi,"The Insight Centre for Data Analytics, Dublin City University, Dublin 9, Ireland.",10.1371/journal.pone.0029081,Q1,2021,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
32997743,2021,2021 Jan,"Early prediction of mortality risk among patients with severe COVID-19, using machine learning.","BACKGROUND: Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 infection, has been spreading globally. We aimed to develop a clinical model to predict the outcome of patients with severe COVID-19 infection early. METHODS: Demographic, clinical and first laboratory findings after admission of 183 patients with severe COVID-19 infection (115 survivors and 68 non-survivors from the Sino-French New City Branch of Tongji Hospital, Wuhan) were used to develop the predictive models. Machine learning approaches were used to select the features and predict the patients' outcomes. The area under the receiver operating characteristic curve (AUROC) was applied to compare the models' performance. A total of 64 with severe COVID-19 infection from the Optical Valley Branch of Tongji Hospital, Wuhan, were used to externally validate the final predictive model. RESULTS: The baseline characteristics and laboratory tests were significantly different between the survivors and non-survivors. Four variables (age, high-sensitivity C-reactive protein level, lymphocyte count and d-dimer level) were selected by all five models. Given the similar performance among the models, the logistic regression model was selected as the final predictive model because of its simplicity and interpretability. The AUROCs of the external validation sets were 0.881. The sensitivity and specificity were 0.839 and 0.794 for the validation set, when using a probability of death of 50% as the cutoff. Risk score based on the selected variables can be used to assess the mortality risk. The predictive model is available at [https://phenomics.fudan.edu.cn/risk_scores/]. CONCLUSIONS: Age, high-sensitivity C-reactive protein level, lymphocyte count and d-dimer level of COVID-19 patients at admission are informative for the patients' outcomes.",International journal of epidemiology,Int J Epidemiol,"Journal Article; Research Support, Non-U.S. Gov't",Hu Chuanyu,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China.",10.1093/ije/dyaa171,Q1,2021,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
34142141,2021,2021 Aug,Design thinking in applied informatics: what can we learn from Project HealthDesign?,"OBJECTIVE: The goals of this study are to describe the value and impact of Project HealthDesign (PHD), a program of the Robert Wood Johnson Foundation that applied design thinking to personal health records, and to explore the applicability of the PHD model to another challenging translational informatics problem: the integration of AI into the healthcare system. MATERIALS AND METHODS: We assessed PHD's impact and value in 2 ways. First, we analyzed publication impact by calculating a PHD h-index and characterizing the professional domains of citing journals. Next, we surveyed and interviewed PHD grantees, expert consultants, and codirectors to assess the program's components and the potential future application of design thinking to artificial intelligence (AI) integration into healthcare. RESULTS: There was a total of 1171 unique citations to PHD-funded work (collective h-index of 25). Studies citing PHD span medical, legal, and computational journals. Participants stated that this project transformed their thinking, altered their career trajectory, and resulted in technology transfer into the commercial sector. Participants felt, in general, that the approach would be valuable in solving contemporary challenges integrating AI in healthcare including complex social questions, integrating knowledge from multiple domains, implementation, and governance. CONCLUSION: Design thinking is a systematic approach to problem-solving characterized by cooperation and collaboration. PHD generated significant impacts as measured by citations, reach, and overall effect on participants. PHD's design thinking methods are potentially useful to other work on cyber-physical systems, such as the use of AI in healthcare, to propose structural or policy-related changes that may affect adoption, value, and improvement of the care delivery system.",Journal of the American Medical Informatics Association : JAMIA,J Am Med Inform Assoc,"Journal Article; Research Support, Non-U.S. Gov't",Novak Laurie L,"Department of Biomedical Informatics, Vanderbilt University Medical Center, Nashville, Tennessee, USA.",10.1093/jamia/ocab081,Q1,2021,Cautious Optimism,sonnet,Medium,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""Medium"", ""predictive_claim"": ""no""}"
35603127,2021,2021 Jan,A deep learning framework for drug repurposing via emulating clinical trials on real-world patient data.,"Drug repurposing is an effective strategy to identify new uses for existing drugs, providing the quickest possible transition from bench to bedside. Real-world data, such as electronic health records and insurance claims, provide information on large cohorts of users for many drugs. Here we present an efficient and easily customized framework for generating and testing multiple candidates for drug repurposing using a retrospective analysis of real-world data. Building upon well-established causal inference and deep learning methods, our framework emulates randomized clinical trials for drugs present in a large-scale medical claims database. We demonstrate our framework on a coronary artery disease cohort of millions of patients. We successfully identify drugs and drug combinations that substantially improve the coronary artery disease outcomes but haven't been indicated for treating coronary artery disease, paving the way for drug repurposing.",Nature machine intelligence,Nat Mach Intell,Journal Article,Liu Ruoqi,"Department of Computer Science and Engineering, The Ohio State University, Columbus, OH, USA.",10.1101/2020.01.28.20018366,Q1,2021,Cautious Optimism,sonnet,Medium,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""Medium"", ""predictive_claim"": ""yes""}"
33292121,2021,2021 Jan,Identification of Chronic Hypersensitivity Pneumonitis Biomarkers with Machine Learning and Differential Co-expression Analysis.,"AIMS: This study aims to identify the biomarkers for chronic hypersensitivity pneumonitis (CHP) and facilitate the precise gene therapy of CHP. BACKGROUND: Chronic hypersensitivity pneumonitis (CHP) is an interstitial lung disease caused by hypersensitive reactions to inhaled antigens. Clinically, the task of differentiating CHP and other interstitial lung diseases, especially idiopathic pulmonary fibrosis (IPF), was challenging. OBJECTIVE: In this study, we analyzed the publically available gene expression profile of 82 CHP patients, 103 IPF patients, and 103 control samples to identify the CHP biomarkers. METHODS: The CHP biomarkers were selected with advanced feature selection methods: Monte Carlo Feature Selection (MCFS) and Incremental Feature Selection (IFS). A Support Vector Machine (SVM) classifier was built. Then, we analyzed these CHP biomarkers through functional enrichment analysis and differential co-expression analysis. RESULTS: There were 674 identified CHP biomarkers. The co-expression network of these biomarkers in CHP included more negative regulations and the network structure of CHP was quite different from the network of IPF and control. CONCLUSION: The SVM classifier may serve as an important clinical tool to address the challenging task of differentiating between CHP and IPF. Many of the biomarker genes on the differential coexpression network showed great promise in revealing the underlying mechanisms of CHP.",Current gene therapy,Curr Gene Ther,"Journal Article; Research Support, Non-U.S. Gov't",Zhang Hongwei,"Institute of Interdisciplinary Integrative Biomedical Research, Shanghai University of Traditional Chinese Medicine, Shanghai, China.",10.2174/1566523220666201208093325,Q2,2021,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
33411093,2021,2021 Oct,Conventional and advanced imaging throughout the cycle of care of gliomas.,"Although imaging of gliomas has evolved tremendously over the last decades, published techniques and protocols are not always implemented into clinical practice. Furthermore, most of the published literature focuses on specific timepoints in glioma management. This article reviews the current literature on conventional and advanced imaging techniques and chronologically outlines their practical relevance for the clinical management of gliomas throughout the cycle of care. Relevant articles were located through the Pubmed/Medline database and included in this review. Interpretation of conventional and advanced imaging techniques is crucial along the entire process of glioma care, from diagnosis to follow-up. In addition to the described currently existing techniques, we expect deep learning or machine learning approaches to assist each step of glioma management through tumor segmentation, radiogenomics, prognostication, and characterization of pseudoprogression. Thorough knowledge of the specific performance, possibilities, and limitations of each imaging modality is key for their adequate use in glioma management.",Neurosurgical review,Neurosurg Rev,Journal Article; Review,Reuter Gilles,"Department of Neurosurgery, University Hospital of Liège, Liège, Belgium. gilles.reuter@chuliege.be.",10.1007/s00415-006-0158-3,Q1,2021,Cautious Optimism,sonnet,Medium,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""Medium"", ""predictive_claim"": ""yes""}"
34336000,2021,2021 Jan,Use of Deep-Learning Genomics to Discriminate Healthy Individuals from Those with Alzheimer's Disease or Mild Cognitive Impairment.,"OBJECTIVES: Alzheimer's disease (AD) is the most prevalent neurodegenerative disorder and the most common form of dementia in the elderly. Certain genes have been identified as important clinical risk factors for AD, and technological advances in genomic research, such as genome-wide association studies (GWAS), allow for analysis of polymorphisms and have been widely applied to studies of AD. However, shortcomings of GWAS include sensitivity to sample size and hereditary deletions, which result in low classification and predictive accuracy. Therefore, this paper proposes a novel deep-learning genomics approach and applies it to multitasking classification of AD progression, with the goal of identifying novel genetic biomarkers overlooked by traditional GWAS analysis. METHODS: In this study, we selected genotype data from 1461 subjects enrolled in the Alzheimer's Disease Neuroimaging Initiative, including 622 AD, 473 mild cognitive impairment (MCI), and 366 healthy control (HC) subjects. The proposed deep-learning genomics (DLG) approach consists of three steps: quality control, coding of single-nucleotide polymorphisms, and classification. The ResNet framework was used for the DLG model, and the results were compared with classifications by simple convolutional neural network structure. All data were randomly assigned to one training/validation group and one test group at a ratio of 9 : 1. And fivefold cross-validation was used. RESULTS: We compared classification results from the DLG model to those from traditional GWAS analysis among the three groups. For the AD and HC groups, the accuracy, sensitivity, and specificity of classification were, respectively, 98.78 ± 1.50%, 98.39% ± 2.50%, and 99.44% ± 1.11% using the DLG model, while 71.38% ± 0.63%, 63.13% ± 2.87%, and 85.59% ± 6.66% using traditional GWAS. Similar results were obtained from the other two intergroup classifications. CONCLUSION: The DLG model can achieve higher accuracy and sensitivity when applied to progression of AD. More importantly, we discovered several novel genetic biomarkers of AD progression, including rs6311 and rs6313 in HTR2A, rs1354269 in NAV2, and rs690705 in RFC3. The roles of these novel loci in AD should be explored in future research.",Behavioural neurology,Behav Neurol,Journal Article,Li Lanlan,"Institute of Biomedical Engineering, School of Communication and Information Engineering, Shanghai University, Shanghai 200444, China.",10.1186/s13024-020-00395-3,Q2,2021,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
32964831,2021,2021 Feb,Large-scale assessment of consistency in sleep stage scoring rules among multiple sleep centers using an interpretable machine learning algorithm.,"STUDY OBJECTIVES: Polysomnography is the gold standard in identifying sleep stages; however, there are discrepancies in how technicians use the standards. Because organizing meetings to evaluate this discrepancy and/or reach a consensus among multiple sleep centers is time-consuming, we developed an artificial intelligence system to efficiently evaluate the reliability and consistency of sleep scoring and hence the sleep center quality. METHODS: An interpretable machine learning algorithm was used to evaluate the interrater reliability (IRR) of sleep stage annotation among sleep centers. The artificial intelligence system was trained to learn raters from 1 hospital and was applied to patients from the same or other hospitals. The results were compared with the experts' annotation to determine IRR. Intracenter and intercenter assessments were conducted on 679 patients without sleep apnea from 6 sleep centers in Taiwan. Centers with potential quality issues were identified by the estimated IRR. RESULTS: In the intracenter assessment, the median accuracy ranged from 80.3%-83.3%, with the exception of 1 hospital, which had an accuracy of 72.3%. In the intercenter assessment, the median accuracy ranged from 75.7%-83.3% when the 1 hospital was excluded from testing and training. The performance of the proposed method was higher for the N2, awake, and REM sleep stages than for the N1 and N3 stages. The significant IRR discrepancy of the 1 hospital suggested a quality issue. This quality issue was confirmed by the physicians in charge of the 1 hospital. CONCLUSIONS: The proposed artificial intelligence system proved effective in assessing IRR and hence the sleep center quality.",Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,J Clin Sleep Med,"Journal Article; Research Support, Non-U.S. Gov't",Liu Gi-Ren,"Department of Mathematics, National Chen-Kung University, Tainan, Taiwan.",10.1007/s11325-014-0990-0,Q2,2021,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
34244880,2021,2021 Aug,Artificial Intelligence-Assisted Early Detection of Retinitis Pigmentosa - the Most Common Inherited Retinal Degeneration.,"The purpose of this study was to detect the presence of retinitis pigmentosa (RP) based on color fundus photographs using a deep learning model. A total of 1670 color fundus photographs from the Taiwan inherited retinal degeneration project and National Taiwan University Hospital were acquired and preprocessed. The fundus photographs were labeled RP or normal and divided into training and validation datasets (n = 1284) and a test dataset (n = 386). Three transfer learning models based on pre-trained Inception V3, Inception Resnet V2, and Xception deep learning architectures, respectively, were developed to classify the presence of RP on fundus images. The model sensitivity, specificity, and area under the receiver operating characteristic (AUROC) curve were compared. The results from the best transfer learning model were compared with the reading results of two general ophthalmologists, one retinal specialist, and one specialist in retina and inherited retinal degenerations. A total of 935 RP and 324 normal images were used to train the models. The test dataset consisted of 193 RP and 193 normal images. Among the three transfer learning models evaluated, the Xception model had the best performance, achieving an AUROC of 96.74%. Gradient-weighted class activation mapping indicated that the contrast between the periphery and the macula on fundus photographs was an important feature in detecting RP. False-positive results were mostly obtained in cases of high myopia with highly tessellated retina, and false-negative results were mostly obtained in cases of unclear media, such as cataract, that led to a decrease in the contrast between the peripheral retina and the macula. Our model demonstrated the highest accuracy of 96.00%, which was comparable with the average results of 81.50%, of the other four ophthalmologists. Moreover, the accuracy was obtained at the same level of sensitivity (95.71%), as compared to an inherited retinal disease specialist. RP is an important disease, but its early and precise diagnosis is challenging. We developed and evaluated a transfer-learning-based model to detect RP from color fundus photographs. The results of this study validate the utility of deep learning in automating the identification of RP from fundus photographs.",Journal of digital imaging,J Digit Imaging,"Journal Article; Research Support, Non-U.S. Gov't",Chen Ta-Ching,"Department of Ophthalmology, College of Medicine, National Taiwan University, Taipei, Taiwan.",10.1038/s41598-018-35044-9,Q1,2021,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
34848840,2021,2021 Nov,Oxidative damage-induced hyperactive ribosome biogenesis participates in tumorigenesis of offspring by cross-interacting with the Wnt and TGF-β1 pathways in IVF embryos.,"In vitro fertilization (IVF) increases the risk of tumorigenesis in offspring. The increased oxidative damage during IVF may be involved in tumor formation. However, the molecular mechanisms underlying this phenomenon remain largely unclear. Using a well-established model of oxidatively damaged IVF mouse embryos, we applied the iTRAQ method to identify proteins differentially expressed between control and oxidatively damaged zygotes and explored the possible tumorigenic mechanisms, especially with regard to the effects of oxidative damage on ribosome biogenesis closely related to tumorigenesis. The iTRAQ results revealed that ribosomal proteins were upregulated by oxidative stress through the Nucleolin/β-Catenin/n-Myc pathway, which stimulated ribosomes to synthesize an abundance of repair proteins to correct the damaged DNA/chromosomes in IVF-derived embryos. However, the increased percentages of γH2AX-positive cells and apoptotic cells in the blastocyst suggested that DNA repair was insufficient, resulting in aberrant ribosome biogenesis. Overexpression of ribosomal proteins, particularly Rpl15, which gradually increased from the 1-cell to 8-cell stages, indicated persistent hyperactivation of ribosome biogenesis, which promoted tumorigenesis in offspring derived from oxidatively damaged IVF embryos by selectively enhancing the translation of β-Catenin and TGF-β1. The antioxidant epigallocatechin-3-gallate (EGCG) was added to the in vitro culture medium to protect embryos from oxidative damage, and the expression of ribosome-/tumor-related proteins returned to normal after EGCG treatment. This study suggests that regulation of ribosome biogenesis by EGCG may be a means of preventing tumor formation in human IVF-derived offspring, providing a scientific basis for optimizing in vitro culture conditions and improving human-assisted reproductive technology.",Experimental & molecular medicine,Exp Mol Med,"Journal Article; Research Support, Non-U.S. Gov't",Huang Yue,"Department of Reproductive Center, The First Affiliated Hospital of Shantou University Medical College, Shantou University, 515000, Shantou, Guangdong, China.",10.1038/s12276-021-00700-0,Q1,2021,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
