pmid,specialty,pub_type_simple_5,journal,title,year
37881016,Medical Informatics / Digital Health,Research Article,The British journal of psychiatry : the journal of mental science,Artificial intelligence and increasing misinformation.,2024
39409537,Medical Informatics / Digital Health,Review,"Sensors (Basel, Switzerland)",Discrepancies between Promised and Actual AI Capabilities in the Continuous Vital Sign Monitoring of In-Hospital Patients: A Review of the Current Evidence.,2024
37898461,Medical Informatics / Digital Health,Review,Journal of clinical epidemiology,Open science practices need substantial improvement in prognostic model studies in oncology using machine learning.,2024
38661379,Radiology / Diagnostic Imaging,Research Article,Clinical nuclear medicine,Keeping Up With ChatGPT: Evaluating Its Recognition and Interpretation of Nuclear Medicine Images.,2024
37477707,Mental Health / Psychiatry,Letter,Annals of biomedical engineering,ChatGPT as a Complementary Mental Health Resource: A Boon or a Bane.,2024
38329525,Surgery,Research Article,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,Diagnosis of malignancy in oropharyngeal confocal laser endomicroscopy using GPT 4.0 with vision.,2024
39106482,Dermatology,Research Article,JMIR medical informatics,Claude 3 Opus and ChatGPT With GPT-4 in Dermoscopic Image Analysis for Melanoma Diagnosis: Comparative Performance Analysis.,2024
39430700,Internal Medicine / Primary Care,Research Article,Digital health,Evaluating the comprehension and accuracy of ChatGPT's responses to diabetes-related questions in Urdu compared to English.,2024
39420246,Emergency Medicine / Critical Care,Research Article,Postgraduate medicine,Exploring the potential of artificial intelligence models for triage in the emergency department.,2024
38897175,Medical Informatics / Digital Health,Research Article,Cell reports. Medicine,Racism is an ethical issue for healthcare artificial intelligence.,2024
38307617,Medical Informatics / Digital Health,Research Article,BMJ health & care informatics,Performance of large language models on advocating the management of meningitis: a comparative qualitative study.,2024
39587148,Medical Informatics / Digital Health,Research Article,Scientific reports,The risk of shortcutting in deep learning algorithms for medical imaging research.,2024
38592470,Medical Informatics / Digital Health,Research Article,European journal of clinical pharmacology,Poor performance of ChatGPT in clinical rule-guided dose interventions in hospitalized patients with renal dysfunction.,2024
38273152,Surgery,Research Article,Aesthetic plastic surgery,"Complications Following Body Contouring: Performance Validation of Bard, a Novel AI Large Language Model, in Triaging and Managing Postoperative Patient Concerns.",2024
39325705,Surgery,Research Article,PloS one,Is ChatGPT 3.5 smarter than Otolaryngology trainees? A comparison study of board style exam questions.,2024
38789133,Ophthalmology,Research Article,The British journal of ophthalmology,Unveiling the clinical incapabilities: a benchmarking study of GPT-4V(ision) for ophthalmic multimodal image analysis.,2024
38910941,Neurology / Neuroscience,Research Article,Journal of Alzheimer's disease reports,ChatGPT's Inconsistency in the Diagnosis of Alzheimer's Disease.,2024
37820865,Obstetrics / Gynecology,Research Article,F&S science,Embryo ranking agreement between embryologists and artificial intelligence algorithms.,2024
39230409,Oncology,Research Article,AJR. American journal of roentgenology,Lung Cancer Staging Using Chest CT and FDG PET/CT Free-Text Reports: Comparison Among Three ChatGPT Large Language Models and Six Human Readers of Varying Experience.,2024
39318971,Surgery,Review,European urology open science,ChatGPT as a Clinical Decision Maker for Urolithiasis: Compliance with the Current European Association of Urology Guidelines.,2024
37814369,Dentistry,Research Article,International endodontic journal,Unveiling the ChatGPT phenomenon: Evaluating the consistency and accuracy of endodontic question answers.,2024
39719573,Medical Informatics / Digital Health,Research Article,BMC medical informatics and decision making,Assessing the accuracy and quality of artificial intelligence (AI) chatbot-generated responses in making patient-specific drug-therapy and healthcare-related decisions.,2024
38070128,Internal Medicine / Primary Care,Research Article,British journal of haematology,Evaluating the performance of large language models in haematopoietic stem cell transplantation decision-making.,2024
38638404,Internal Medicine / Primary Care,Research Article,Digital health,Evaluating ChatGPT's efficacy in assessing the safety of non-prescription medications and supplements in patients with kidney disease.,2024
39050145,Medical Informatics / Digital Health,Research Article,Exploratory research in clinical and social pharmacy,Assessing accuracy of ChatGPT in response to questions from day to day pharmaceutical care in hospitals.,2024
38417624,Surgery,Research Article,World neurosurgery,Will ChatGPT be Able to Replace a Spine Surgeon in the Clinical Setting?,2024
39477547,Radiology / Diagnostic Imaging,Research Article,Journal of educational evaluation for health professions,The performance of ChatGPT-4.0o in medical imaging evaluation: a cross-sectional study.,2024
39473094,Medical Informatics / Digital Health,Research Article,Korean journal of radiology,Insufficient Transparency in Stochasticity Reporting in Large Language Model Studies for Medical Applications in Leading Medical Journals.,2024
39155667,Oncology,Research Article,Journal of surgical oncology,Accuracy and consistency of publicly available Large Language Models as clinical decision support tools for the management of colon cancer.,2024
39123282,Dermatology,Letter,International journal of dermatology,Accuracy of ChatGPT-3.5 and GPT-4 in diagnosing clinical scenarios in dermatology involving skin of color.,2024
37972444,Surgery,Research Article,"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",Modern Machiavelli? The illusion of ChatGPT-generated patient reviews in plastic and aesthetic surgery based on 9000 review classifications.,2024
38764369,Internal Medicine / Primary Care,Research Article,Journal of evaluation in clinical practice,Evaluating ChatGPT's effectiveness and tendencies in Japanese internal medicine.,2024
38470976,Surgery,Research Article,Clinical orthopaedics and related research,Machine Learning Did Not Outperform Conventional Competing Risk Modeling to Predict Revision Arthroplasty.,2024
39287535,Ophthalmology,Research Article,"Retina (Philadelphia, Pa.)",APPLICATIONS OF MULTIMODAL GENERATIVE ARTIFICIAL INTELLIGENCE IN A REAL-WORLD RETINA CLINIC SETTING.,2024
38713028,Radiology / Diagnostic Imaging,Research Article,Radiology,Evaluating GPT-V4 (GPT-4 with Vision) on Detection of Radiologic Findings on Chest Radiographs.,2024
38000671,Medical Informatics / Digital Health,Research Article,World neurosurgery,Information Quality and Readability: ChatGPT's Responses to the Most Common Questions About Spinal Cord Injury.,2024
38530460,Surgery,Research Article,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,The quality and readability of patient information provided by ChatGPT: can AI reliably explain common ENT operations?,2024
38241075,Medical Education,Review,Journal of medical Internet research,The Reporting Quality of Machine Learning Studies on Pediatric Diabetes Mellitus: Systematic Review.,2024
38394317,Medical Informatics / Digital Health,Research Article,PloS one,Suboptimal capability of individual machine learning algorithms in modeling small-scale imbalanced clinical data of local hospital.,2024
38364587,Radiology / Diagnostic Imaging,Research Article,European journal of radiology,Quantitative evaluation of Saliency-Based Explainable artificial intelligence (XAI) methods in Deep Learning-Based mammogram analysis.,2024
38663993,Radiology / Diagnostic Imaging,Review,AJNR. American journal of neuroradiology,Evaluating Biases and Quality Issues in Intermodality Image Translation Studies for Neuroradiology: A Systematic Review.,2024
39443664,Medical Informatics / Digital Health,Research Article,NPJ digital medicine,Medical large language models are susceptible to targeted misinformation attacks.,2024
39042425,Internal Medicine / Primary Care,Research Article,Journal of medical Internet research,Diagnostic Accuracy of a Mobile AI-Based Symptom Checker and a Web-Based Self-Referral Tool in Rheumatology: Multicenter Randomized Controlled Trial.,2024
37952634,Cardiology,Letter,European journal of vascular and endovascular surgery : the official journal of the European Society for Vascular Surgery,Current Artificial Intelligence Based Chatbots May Produce Inaccurate and Potentially Harmful Information for Patients With Aortic Disease.,2024
38180398,Emergency Medicine / Critical Care,Research Article,Annals of emergency medicine,Evaluating the Reliability of a Remote Acuity Prediction Tool in a Canadian Academic Emergency Department.,2024
39394122,Medical Education,Research Article,BMC medical education,The future of AI clinicians: assessing the modern standard of chatbots and their approach to diagnostic uncertainty.,2024
38991693,Medical Informatics / Digital Health,Editorial,BMJ (Clinical research ed.),Large language models are not fit for clinical practice … and other research.,2024
39102765,Internal Medicine / Primary Care,Research Article,"Nutrition research (New York, N.Y.)","Can the AI tools ChatGPT and Bard generate energy, macro- and micro-nutrient sufficient meal plans for different dietary patterns?",2024
39730155,Internal Medicine / Primary Care,Research Article,BMJ open,ChatGPT (GPT-4) versus doctors on complex cases of the Swedish family medicine specialist examination: an observational comparative study.,2024
38951256,Dentistry,Research Article,Clinical oral investigations,Performance of ChatGPT in classifying periodontitis according to the 2018 classification of periodontal diseases.,2024
37967485,Emergency Medicine / Critical Care,Research Article,The American journal of emergency medicine,Performance of Google bard and ChatGPT in mass casualty incidents triage.,2024
38965432,Medical Informatics / Digital Health,Research Article,Nature medicine,Evaluation and mitigation of the limitations of large language models in clinical decision-making.,2024
40226679,Mental Health / Psychiatry,Research Article,Depression and anxiety,Validation of Machine Learning-Based Assessment of Major Depressive Disorder from Paralinguistic Speech Characteristics in Routine Care.,2024
38180108,Dermatology,Research Article,Clinical and experimental dermatology,Comparing the quality of ChatGPT- and physician-generated responses to patients' dermatology questions in the electronic medical record.,2024
39176994,Medical Informatics / Digital Health,Research Article,Research synthesis methods,Zero- and few-shot prompting of generative large language models provides weak assessment of risk of bias in clinical trials.,2024
38574939,Surgery,Research Article,The Annals of thoracic surgery,Chatbot Reliability in Managing Thoracic Surgical Clinical Scenarios.,2024
38206389,Surgery,Research Article,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,Accuracy of ChatGPT-3.5 and -4 in providing scientific references in otolaryngology-head and neck surgery.,2024
38279999,Medical Informatics / Digital Health,Research Article,Journal of neurology,ChatGPT fails challenging the recent ESCMID brain abscess guideline.,2024
38423890,Surgery,Research Article,HPB : the official journal of the International Hepato Pancreato Biliary Association,Experts vs. machine - comparison of machine learning to expert-informed prediction of outcome after major liver surgery.,2024
38903839,Surgery,Research Article,Journal of hand surgery global online,ChatGPT's Performance on the Hand Surgery Self-Assessment Exam: A Critical Analysis.,2024
38221727,Internal Medicine / Primary Care,Letter,"Arthritis & rheumatology (Hoboken, N.J.)",Doctor versus artificial intelligence: patient and physician evaluation of large language model responses to rheumatology patient questions: comment on the article by Ye et al.,2024
39359001,Internal Medicine / Primary Care,Research Article,British journal of clinical pharmacology,Evaluating the capability of ChatGPT in predicting drug-drug interactions: Real-world evidence using hospitalized patient data.,2024
38443209,Ophthalmology,Research Article,Contact lens & anterior eye : the journal of the British Contact Lens Association,"Assessing the proficiency of artificial intelligence programs in the diagnosis and treatment of cornea, conjunctiva, and eyelid diseases and exploring the advantages of each other benefits.",2024
39455195,Medical Informatics / Digital Health,Review,The Lancet. Digital health,Revealing transparency gaps in publicly available COVID-19 datasets used for medical artificial intelligence development-a systematic review.,2024
39589253,Radiology / Diagnostic Imaging,Research Article,Radiology,Toward Foundation Models in Radiology? Quantitative Assessment of GPT-4V's Multimodal and Multianatomic Region Capabilities.,2024
39120501,Medical Education,Research Article,The Journal of nursing education,Utilizing Artificial Intelligence-Based Tools for Addressing Clinical Queries: ChatGPT Versus Google Gemini.,2024
38363256,Dentistry,Research Article,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Clinical evaluation of Artificial Intelligence Driven Remote Monitoring technology for assessment of patient oral hygiene during orthodontic treatment.,2024
38687483,Medical Informatics / Digital Health,Research Article,JAMA network open,Patient Perceptions of Chatbot Supervision in Health Care Settings.,2024
37983846,Surgery,Research Article,The Laryngoscope,Evaluation of Oropharyngeal Cancer Information from Revolutionary Artificial Intelligence Chatbot.,2024
39379357,Emergency Medicine / Critical Care,Research Article,Nature communications,Evaluating the use of large language models to provide clinical recommendations in the Emergency Department.,2024
38584922,Oncology,Research Article,Frontiers in public health,Artificial intelligence large language model ChatGPT: is it a trustworthy and reliable source of information for sarcoma patients?,2024
38499716,Internal Medicine / Primary Care,Research Article,Archives of osteoporosis,Artificial intelligence insights into osteoporosis: assessing ChatGPT's information quality and readability.,2024
38407629,Surgery,Letter,World journal of urology,"Letter to the editor: ""ChatGPT and most frequent urological diseases: analysing the quality of information and potential risks for patients"".",2024
39430359,Ophthalmology,Research Article,Taiwan journal of ophthalmology,"Investigating the comparative superiority of artificial intelligence programs in assessing knowledge levels regarding ocular inflammation, uvea diseases, and treatment modalities.",2024
38573489,Radiology / Diagnostic Imaging,Research Article,Physical and engineering sciences in medicine,Are deep learning classification results obtained on CT scans fair and interpretable?,2024
38648098,Emergency Medicine / Critical Care,Research Article,Journal of medical Internet research,ChatGPT's Performance in Cardiac Arrest and Bradycardia Simulations Using the American Heart Association's Advanced Cardiovascular Life Support Guidelines: Exploratory Study.,2024
39529104,Emergency Medicine / Critical Care,Research Article,"Critical care (London, England)","Representation of intensivists' race/ethnicity, sex, and age by artificial intelligence: a cross-sectional study of two text-to-image models.",2024
39036542,Radiology / Diagnostic Imaging,Research Article,Frontiers in radiology,ChatGPT yields low accuracy in determining LI-RADS scores based on free-text and structured radiology reports in German language.,2024
39229462,Ophthalmology,Research Article,Digital health,Evaluation of the quality and readability of ChatGPT responses to frequently asked questions about myopia in traditional Chinese language.,2024
39035269,Dentistry,Research Article,Journal of dental sciences,Evaluating GPT-4V's performance in the Japanese national dental examination: A challenge explored.,2024
38323521,Internal Medicine / Primary Care,Research Article,Spine,ChatGPT for the Diagnosis and Treatment of Low Back Pain: Comment.,2024
39068484,Radiology / Diagnostic Imaging,Letter,Experimental hematology & oncology,Exploring whether ChatGPT-4 with image analysis capabilities can diagnose osteosarcoma from X-ray images.,2024
39472597,Medical Informatics / Digital Health,Research Article,Scientific reports,What algorithmic evaluation fails to deliver: respectful treatment and individualized consideration.,2024
38230359,Ophthalmology,Research Article,"Clinical ophthalmology (Auckland, N.Z.)",The Utility of ChatGPT in Diabetic Retinopathy Risk Assessment: A Comparative Study with Clinical Diagnosis [Letter].,2024
39565733,Emergency Medicine / Critical Care,Research Article,PloS one,Assessing the accuracy and consistency of answers by ChatGPT to questions regarding carbon monoxide poisoning.,2024
38128256,Radiology / Diagnostic Imaging,Research Article,European journal of radiology,Quality of T2-weighted MRI re-acquisition versus deep learning GAN image reconstruction: A multi-reader study.,2024
38570273,Dentistry,Research Article,"Oral surgery, oral medicine, oral pathology and oral radiology",Evaluation of AI-generated responses by different artificial intelligence chatbots to the clinical decision-making case-based questions in oral and maxillofacial surgery.,2024
38972166,Pathology / Laboratory Medicine,Research Article,Annals of diagnostic pathology,Comparing customized ChatGPT and pathology residents in histopathologic description and diagnosis of common diseases.,2024
38386789,Surgery,Research Article,International braz j urol : official journal of the Brazilian Society of Urology,Use of ChatGPT in Urology and its Relevance in Clinical Practice: Is it useful?,2024
39230022,Dentistry,Research Article,The Angle orthodontist,Orthodontic treatment outcome predictive performance differences between artificial intelligence and conventional methods.,2024
38290289,Dermatology,Research Article,Computer methods and programs in biomedicine,Understanding skin color bias in deep learning-based skin lesion segmentation.,2024
39276611,Medical Informatics / Digital Health,Research Article,Computers in biology and medicine,MedConceptsQA: Open source medical concepts QA benchmark.,2024
38102068,Pathology / Laboratory Medicine,Research Article,The journal of applied laboratory medicine,The Role of Artificial Intelligence for Providing Scientific Content for Laboratory Medicine.,2024
39327587,Emergency Medicine / Critical Care,Research Article,"Scandinavian journal of trauma, resuscitation and emergency medicine",Evaluating the accuracy and reliability of AI chatbots in disseminating the content of current resuscitation guidelines: a comparative analysis between the ERC 2021 guidelines and both ChatGPTs 3.5 and 4.,2024
39593799,Ophthalmology,Research Article,"Bioengineering (Basel, Switzerland)",Performance of a Deep Learning System and Performance of Optometrists for the Detection of Glaucomatous Optic Neuropathy Using Colour Retinal Photographs.,2024
37882509,Dentistry,Research Article,Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],Cephalometric analysis performance discrepancy between orthodontists and an artificial intelligence model using lateral cephalometric radiographs.,2024
38413400,Radiology / Diagnostic Imaging,Research Article,Skeletal radiology,An overview of the performance of AI in fracture detection in lumbar and thoracic spine radiographs on a per vertebra basis.,2024
38663992,Radiology / Diagnostic Imaging,Research Article,AJNR. American journal of neuroradiology,Assessing the Performance of Artificial Intelligence Models: Insights from the American Society of Functional Neuroradiology Artificial Intelligence Competition.,2024
39535651,Medical Informatics / Digital Health,Research Article,Journal of medical systems,How Useful are Current Chatbots Regarding Urology Patient Information? Comparison of the Ten Most Popular Chatbots' Responses About Female Urinary Incontinence.,2024
38771177,Radiology / Diagnostic Imaging,Research Article,Radiology,Patient Characteristics Impact Performance of AI Algorithm in Interpreting Negative Screening Digital Breast Tomosynthesis Studies.,2024
39118057,Medical Informatics / Digital Health,Research Article,BMC infectious diseases,Language discrepancies in the performance of generative artificial intelligence models: an examination of infectious disease queries in English and Arabic.,2024
39236508,Surgery,Research Article,Clinical genitourinary cancer,Can Patients With Urogenital Cancer Rely on Artificial Intelligence Chatbots for Treatment Decisions?,2024
39658658,Surgery,Research Article,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,Does machine learning improve prediction accuracy of the Endoscopic Third Ventriculostomy Success Score? A contemporary Hydrocephalus Clinical Research Network cohort study.,2024
38041797,Pathology / Laboratory Medicine,Research Article,American journal of clinical pathology,Evaluation of ChatGPT pathology knowledge using board-style questions.,2024
38546736,Surgery,Research Article,JMIR medical education,Performance of GPT-4V in Answering the Japanese Otolaryngology Board Certification Examination Questions: Evaluation Study.,2024
39201195,Medical Education,Research Article,"Healthcare (Basel, Switzerland)",Assessment Study of ChatGPT-3.5's Performance on the Final Polish Medical Examination: Accuracy in Answering 980 Questions.,2024
38954323,Surgery,Research Article,Musculoskeletal surgery,GPT-based chatbot tools are still unreliable in the management of prosthetic joint infections.,2024
38123252,Medical Informatics / Digital Health,Research Article,The Lancet. Digital health,Assessing the potential of GPT-4 to perpetuate racial and gender biases in health care: a model evaluation study.,2024
39308261,Medical Informatics / Digital Health,Editorial,The British journal of psychiatry : the journal of mental science,Artificial intelligence and cybercrime: implications for individuals and the healthcare sector.,2024
38207039,Medical Informatics / Digital Health,Research Article,"Science (New York, N.Y.)",Illusory generalizability of clinical prediction models.,2024
38341993,Emergency Medicine / Critical Care,Research Article,The American journal of emergency medicine,Human intelligence versus Chat-GPT: who performs better in correctly classifying patients in triage?,2024
39122964,Obstetrics / Gynecology,Research Article,Nature medicine,"Deep learning versus manual morphology-based embryo selection in IVF: a randomized, double-blind noninferiority trial.",2024
38185250,Pathology / Laboratory Medicine,Research Article,"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",Tissue Contamination Challenges the Credibility of Machine Learning Models in Real World Digital Pathology.,2024
38903829,Medical Education,Research Article,Journal of hand surgery global online,Comparison of Artificial Intelligence to Resident Performance on Upper-Extremity Orthopaedic In-Training Examination Questions.,2024
37750493,Medical Education,Research Article,Anatomical sciences education,Ethical concerns surrounding artificial intelligence in anatomy education: Should AI human body simulations replace donors in the dissection room?,2024
38775367,Medical Informatics / Digital Health,Research Article,Journal of pharmacy practice,Evaluation of ChatGPT as a Tool for Answering Clinical Questions in Pharmacy Practice.,2024
39652180,Medical Education,Research Article,Surgical and radiologic anatomy : SRA,Reliability and efficiency of ChatGPT 3.5 and 4.0 as a tool for scalenovertebral triangle anatomy education.,2024
38545660,Dentistry,Research Article,Journal of dental education,Artificial intelligence-assisted full-mouth radiograph mounting in dental education.,2024
39096711,Cardiology,Research Article,The American journal of emergency medicine,"The accuracy of Gemini, GPT-4, and GPT-4o in ECG analysis: A comparison with cardiologists and emergency medicine specialists.",2024
37295794,Medical Informatics / Digital Health,Review,Regional anesthesia and pain medicine,Addition of dexamethasone to prolong peripheral nerve blocks: a ChatGPT-created narrative review.,2024
39255797,Medical Informatics / Digital Health,Research Article,American journal of human genetics,Assessing the utility of large language models for phenotype-driven gene prioritization in the diagnosis of rare genetic disease.,2024
38611686,Radiology / Diagnostic Imaging,Research Article,"Diagnostics (Basel, Switzerland)",Artificial Intelligence in Medical Imaging: Analyzing the Performance of ChatGPT and Microsoft Bing in Scoliosis Detection and Cobb Angle Assessment.,2024
37979201,Dermatology,Research Article,Clinical and experimental dermatology,ChatGPT versus clinician: challenging the diagnostic capabilities of artificial intelligence in dermatology.,2024
39232303,Surgery,Research Article,Journal of surgical education,Bias Perpetuates Bias: ChatGPT Learns Gender Inequities in Academic Surgery Promotions.,2024
39481125,Surgery,Research Article,Clinical orthopaedics and related research,"Editor's Spotlight/Take 5: ""Dr. AI Will See You Now"": How Do ChatGPT-4 Treatment Recommendations Align With Orthopaedic Clinical Practice Guidelines?",2024
38940314,Nursing,Research Article,Nursing inquiry,Discriminative and exploitive stereotypes: Artificial intelligence generated images of aged care nurses and the impacts on recruitment and retention.,2024
39205556,Oncology,Review,Asian Pacific journal of cancer prevention : APJCP,Diagnostic Accuracy of Artificial Intelligence Compared to Biopsy in Detecting Early Oral Squamous Cell Carcinoma: A Systematic Review and Meta Analysis.,2024
39088019,Oncology,Research Article,Abdominal radiology (New York),"Large language models' responses to liver cancer surveillance, diagnosis, and management questions: accuracy, reliability, readability.",2024
37962570,Medical Education,Research Article,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,"Is artificial intelligence ready to replace specialist doctors entirely? ENT specialists vs ChatGPT: 1-0, ball at the center.",2024
39639068,Ophthalmology,Research Article,Scientific reports,A comparative study of GPT-4o and human ophthalmologists in glaucoma diagnosis.,2024
38901270,Radiology / Diagnostic Imaging,Review,International journal of medical informatics,Diagnostic test accuracy of externally validated convolutional neural network (CNN) artificial intelligence (AI) models for emergency head CT scans - A systematic review.,2024
38816071,Mental Health / Psychiatry,Research Article,Journal of medical ethics,Machine learning for mental health diagnosis: tackling contributory injustice and epistemic oppression.,2024
39496149,Emergency Medicine / Critical Care,Research Article,Journal of medical Internet research,Accuracy of Prospective Assessments of 4 Large Language Model Chatbot Responses to Patient Questions About Emergency Care: Experimental Comparative Study.,2024
38345809,Medical Informatics / Digital Health,Editorial,JAMA internal medicine,The Perils of Artificial Intelligence in a Clinical Landscape.,2024
38087912,Medical Informatics / Digital Health,Research Article,ANZ journal of surgery,Assessment of the bias of artificial intelligence generated images and large language models on their depiction of a surgeon.,2024
39172870,Surgery,Review,JBJS reviews,Artificial Intelligence Models Are Limited in Predicting Clinical Outcomes Following Hip Arthroscopy: A Systematic Review.,2024
39032380,Pathology / Laboratory Medicine,Letter,Annals of diagnostic pathology,ChatGPT and pathology residents in histopathologic description and diagnosis of common diseases: Comment.,2024
39564507,Medical Education,Research Article,Frontiers in medicine,The performance of AI in medical examinations: an exploration of ChatGPT in ultrasound medical education.,2024
39058798,Oncology,Research Article,"International journal of radiation oncology, biology, physics",Current Strengths and Weaknesses of ChatGPT as a Resource for Radiation Oncology Patients and Providers.,2024
38846970,Internal Medicine / Primary Care,Research Article,Frontiers in oncology,"Optical diagnosis in still images of colorectal polyps: comparison between expert endoscopists and PolyDeep, a Computer-Aided Diagnosis system.",2024
