pmid,pub_year,journal,pub_type_simple_5,specialty,title,abstract
33731170,2021,Diagnostic pathology,Review,Pathology / Laboratory Medicine,"Artificial intelligence (AI) in medicine, current applications and future role with special emphasis on its potential and promise in pathology: present and future impact, obstacles including costs and acceptance among pathologists, practical and philosophical considerations. A comprehensive review.","BACKGROUND: The role of Artificial intelligence (AI) which is defined as the ability of computers to perform tasks that normally require human intelligence is constantly expanding. Medicine was slow to embrace AI. However, the role of AI in medicine is rapidly expanding and promises to revolutionize patient care in the coming years. In addition, it has the ability to democratize high level medical care and make it accessible to all parts of the world. MAIN TEXT: Among specialties of medicine, some like radiology were relatively quick to adopt AI whereas others especially pathology (and surgical pathology in particular) are only just beginning to utilize AI. AI promises to play a major role in accurate diagnosis, prognosis and treatment of cancers. In this paper, the general principles of AI are defined first followed by a detailed discussion of its current role in medicine. In the second half of this comprehensive review, the current and future role of AI in surgical pathology is discussed in detail including an account of the practical difficulties involved and the fear of pathologists of being replaced by computer algorithms. A number of recent studies which demonstrate the usefulness of AI in the practice of surgical pathology are highlighted. CONCLUSION: AI has the potential to transform the practice of surgical pathology by ensuring rapid and accurate results and enabling pathologists to focus on higher level diagnostic and consultative tasks such as integrating molecular, morphologic and clinical information to make accurate diagnosis in difficult cases, determine prognosis objectively and in this way contribute to personalized care."
33447941,2021,Drug delivery and translational research,Review,Medical Informatics / Digital Health,Intelligent automated drug administration and therapy: future of healthcare.,"In the twenty-first century, the collaboration of control engineering and the healthcare sector has matured to some extent; however, the future will have promising opportunities, vast applications, and some challenges. Due to advancements in processing speed, the closed-loop administration of drugs has gained popularity for critically ill patients in intensive care units and routine life such as personalized drug delivery or implantable therapeutic devices. For developing a closed-loop drug delivery system, the control system works with a group of technologies like sensors, micromachining, wireless technologies, and pharmaceuticals. Recently, the integration of artificial intelligence techniques such as fuzzy logic, neural network, and reinforcement learning with the closed-loop drug delivery systems has brought their applications closer to fully intelligent automatic healthcare systems. This review's main objectives are to discuss the current developments, possibilities, and future visions in closed-loop drug delivery systems, for providing treatment to patients suffering from chronic diseases. It summarizes the present insight of closed-loop drug delivery/therapy for diabetes, gastrointestinal tract disease, cancer, anesthesia administration, cardiac ailments, and neurological disorders, from a perspective to show the research in the area of control theory."
33529363,2021,Epilepsia,Review,Neurology / Neuroscience,Can Big Data guide prognosis and clinical decisions in epilepsy?,"Big Data is no longer a novel concept in health care. Its promise of positive impact is not only undiminished, but daily enhanced by seemingly endless possibilities. Epilepsy is a disorder with wide heterogeneity in both clinical and research domains, and thus lends itself to Big Data concepts and techniques. It is therefore inevitable that Big Data will enable multimodal research, integrating various aspects of ""-omics"" domains, such as phenome, genome, microbiome, metabolome, and proteome. This scope and granularity have the potential to change our understanding of prognosis and mortality in epilepsy. The scale of new discovery is unprecedented due to the possibilities promised by advances in machine learning, in particular deep learning. The subsequent possibilities of personalized patient care through clinical decision support systems that are evidence-based, adaptive, and iterative seem to be within reach. A major objective is not only to inform decision-making, but also to reduce uncertainty in outcomes. Although the adoption of electronic health record (EHR) systems is near universal in the United States, for example, advanced clinical decision support in or ancillary to EHRs remains sporadic. In this review, we discuss the role of Big Data in the development of clinical decision support systems for epilepsy care, prognostication, and discovery."
33937332,2021,Frontiers in molecular biosciences,Research Article,Oncology,Nanogenomics and Artificial Intelligence: A Dynamic Duo for the Fight Against Breast Cancer.,"Application software is utilized to aid in the diagnosis of breast cancer. Yet, recent advances in artificial intelligence (AI) are addressing challenges related to the detection, classification, and monitoring of different types of tumors. AI can apply deep learning algorithms to perform automated analysis on mammographic or histologic examinations. Large volume of data generated by digitalized mammogram or whole-slide images can be interoperated through advanced machine learning. This enables fast evaluation of every tissue patch on an image, resulting in a quicker more sensitivity, and more reproducible diagnoses compared to human performance. On the other hand, cancer cell-exosomes which are extracellular vesicles released by cancer cells into the blood circulation, are being explored as cancer biomarker. Recent studies on cancer-exosome-content revealed that the encapsulated miRNA and other biomolecules are indicative of tumor sub-type, possible metastasis and prognosis. Thus, theoretically, through nanogenomicas, a profile of each breast tumor sub-type, estrogen receptor status, and potential metastasis site can be constructed. Then, a laboratory instrument, fitted with an AI program, can be used to diagnose suspected patients by matching their sera miRNA and biomolecules composition with the available template profiles. In this paper, we discuss the advantages of establishing a nanogenomics-AI-based breast cancer diagnostic approach, compared to the gold standard radiology or histology based approaches that are currently being adapted to AI. Also, we discuss the advantages of building the diagnostic and prognostic biomolecular profiles for breast cancers based on the exosome encapsulated content, rather than the free circulating miRNA and other biomolecules."
34064710,2021,International journal of environmental research and public health,Review,Obstetrics / Gynecology,Gynecology Meets Big Data in the Disruptive Innovation Medical Era: State-of-Art and Future Prospects.,"Tremendous scientific and technological achievements have been revolutionizing the current medical era, changing the way in which physicians practice their profession and deliver healthcare provisions. This is due to the convergence of various advancements related to digitalization and the use of information and communication technologies (ICTs)-ranging from the internet of things (IoT) and the internet of medical things (IoMT) to the fields of robotics, virtual and augmented reality, and massively parallel and cloud computing. Further progress has been made in the fields of addictive manufacturing and three-dimensional (3D) printing, sophisticated statistical tools such as big data visualization and analytics (BDVA) and artificial intelligence (AI), the use of mobile and smartphone applications (apps), remote monitoring and wearable sensors, and e-learning, among others. Within this new conceptual framework, big data represents a massive set of data characterized by different properties and features. These can be categorized both from a quantitative and qualitative standpoint, and include data generated from wet-lab and microarrays (molecular big data), databases and registries (clinical/computational big data), imaging techniques (such as radiomics, imaging big data) and web searches (the so-called infodemiology, digital big data). The present review aims to show how big and smart data can revolutionize gynecology by shedding light on female reproductive health, both in terms of physiology and pathophysiology. More specifically, they appear to have potential uses in the field of gynecology to increase its accuracy and precision, stratify patients, provide opportunities for personalized treatment options rather than delivering a package of ""one-size-fits-it-all"" healthcare management provisions, and enhance its effectiveness at each stage (health promotion, prevention, diagnosis, prognosis, and therapeutics)."
34882190,2021,JAMA,Research Article,Medical Informatics / Digital Health,"Next-Generation Artificial Intelligence for Diagnosis: From Predicting Diagnostic Labels to ""Wayfinding"".",
33575021,2021,Journal of healthcare engineering,Review,Medical Informatics / Digital Health,Involvement of Machine Learning Tools in Healthcare Decision Making.,"In the present day, there are many diseases which need to be identified at their early stages to start relevant treatments. If not, they could be uncurable and deadly. Due to this reason, there is a need of analysing complex medical data, medical reports, and medical images at a lesser time but with greater accuracy. There are even some instances where certain abnormalities cannot be directly recognized by humans. In healthcare for computational decision making, machine learning approaches are being used in these types of situations where a crucial data analysis needs to be performed on medical data to reveal hidden relationships or abnormalities which are not visible to humans. Implementing algorithms to perform such tasks itself is difficult, but what makes it even more challenging is to increase the accuracy of the algorithm while decreasing the required time for the algorithm to execute. In the early days, processing of large amount of medical data was an important task which resulted in machine learning being adapted in the biological domain. Since this happened, the biology and biomedical fields have been reaching higher levels by exploring more knowledge and identifying relationships which were never observed before. Reaching to its peak now the concern is being diverted towards treating patients not only based on the type of disease but also their genetics, which is known as precision medicine. Modifications in machine learning algorithms are being performed and tested daily to improve the performance of the algorithms in analysing and presenting more accurate information. In the healthcare field, starting from information extraction from medical documents until the prediction or diagnosis of a disease, machine learning has been involved. Medical imaging is a section that was greatly improved with the integration of machine learning algorithms to the field of computational biology. Nowadays, many disease diagnoses are being performed by medical image processing using machine learning algorithms. In addition, patient care, resource allocation, and research on treatments for various diseases are also being performed using machine learning-based computational decision making. Throughout this paper, various machine learning algorithms and approaches that are being used for decision making in the healthcare sector will be discussed along with the involvement of machine learning in healthcare applications in the current context. With the explored knowledge, it was evident that neural network-based deep learning methods have performed extremely well in the field of computational biology with the support of the high processing power of modern sophisticated computers and are being extensively applied because of their high predicting accuracy and reliability. When giving concern towards the big picture by combining the observations, it is noticeable that computational biology and biomedicine-based decision making in healthcare have now become dependent on machine learning algorithms, and thus they cannot be separated from the field of artificial intelligence."
33929707,2021,Journal of robotic surgery,Research Article,Ophthalmology,Can robotics be the future of ophthalmic surgery?,The future of robotic ophthalmologic surgery looks promising. Innovations in robotic technology and artificial intelligence may provide an ideal machine-human interface with planned and precise movements minimizing unwanted tissue damage and improving clinical outcomes.
32974930,2021,Journal of surgical oncology,Review,Oncology,Patient generated health data and electronic health record integration in oncologic surgery: A call for artificial intelligence and machine learning.,"In this review, we aim to assess the current state of science in relation to the integration of patient-generated health data (PGHD) and patient-reported outcomes (PROs) into routine clinical care with a focus on surgical oncology populations. We will also describe the critical role of artificial intelligence and machine-learning methodology in the efficient translation of PGHD, PROs, and traditional outcome measures into meaningful patient care models."
34648746,2021,Journal of the American College of Radiology : JACR,Research Article,Radiology / Diagnostic Imaging,Accelerating Development and Clinical Deployment of Diagnostic Imaging Artificial Intelligence.,
40477078,2021,Mobile networks and applications : MONET,Research Article,Medical Informatics / Digital Health,"Mobile Data Science and Intelligent Apps: Concepts, AI-Based Modeling and Research Directions.","Artificial intelligence (AI) techniques have grown rapidly in recent years in the context of computing with smart mobile phones that typically allows the devices to function in an intelligent manner. Popular AI techniques include machine learning and deep learning methods, natural language processing, as well as knowledge representation and expert systems, can be used to make the target mobile applications intelligent and more effective. In this paper, we present a comprehensive view on ""mobile data science and intelligent apps"" in terms of concepts and AI-based modeling that can be used to design and develop intelligent mobile applications for the betterment of human life in their diverse day-to-day situation. This study also includes the concepts and insights of various AI-powered intelligent apps in several application domains, ranging from personalized recommendation to healthcare services, including COVID-19 pandemic management in recent days. Finally, we highlight several research issues and future directions relevant to our analysis in the area of mobile data science and intelligent apps. Overall, this paper aims to serve as a reference point and guidelines for the mobile application developers as well as the researchers in this domain, particularly from the technical point of view."
33851753,2021,Movement disorders : official journal of the Movement Disorder Society,Editorial,Neurology / Neuroscience,Machine Learning Will Extend the Clinical Utility of Adaptive Deep Brain Stimulation.,
33159824,2021,Nursing inquiry,Research Article,Nursing,Transcending human frailties with technological enhancements and replacements: Transhumanist perspective in nursing and healthcare.,"As human beings age, they become weak, fragile, and feeble. It is a slowly progressing yet complex syndrome in which old age or some disabilities are not prerequisites; neither does loss of human parts lead to frailty among the physically fit older persons. This paper aims to describe the influences of transhumanist perspectives on human-technology enhancements and replacements in the transcendence of human frailties, including those of older persons, in which technology is projected to deliver solutions toward transcending these frailties. Through technologies including genetic screening and other technological manipulations, intelligent machines and augmented humans improve, maintain, and remedy human-linked susceptibilities. Furthermore, other technologies replace parts fabricated through inorganic-mechanical processes such as 3D-printing. Advancing technologies are reaching the summit of technological sophistication contributing to the transhumanist views of being human in a technological world. Technologies enhance the transcendence of human frailties as essential expressions of the symbiosis between human beings and technology in a transcendental world."
34370272,2021,Physical and engineering sciences in medicine,Research Article,Medical Informatics / Digital Health,Artificial intelligence (AI) will enable improved diagnosis and treatment outcomes.,
35199553,2021,Physiological research,Review,Medical Informatics / Digital Health,The potential applications of artificial intelligence in drug discovery and development.,"Development of a new dug is a very lengthy and highly expensive process since only preclinical, pharmacokinetic, pharmacodynamic and toxicological studies include a multiple of in silico, in vitro, in vivo experimentations that traditionally last several years. In the present review, we briefly report some examples that demonstrate the power of the computer-assisted drug discovery process with some examples that are published and revealing the successful applications of artificial intelligence (AI) technology on this vivid area. Besides, we address the situation of drug repositioning (repurposing) in clinical applications. Yet few success stories in this regard that provide us with a clear evidence that AI will reveal its great potential in accelerating effective new drug finding. AI accelerates drug repurposing and AI approaches are altogether necessary and inevitable tools in new medicine development. In spite of the fact that AI in drug development is still in its infancy, the advancements in AI and machine-learning (ML) algorithms have an unprecedented potential. The AI/ML solutions driven by pharmaceutical scientists, computer scientists, statisticians, physicians and others are increasingly working together in the processes of drug development and are adopting AI-based technologies for the rapid discovery of medicines. AI approaches, coupled with big data, are expected to substantially improve the effectiveness of drug repurposing and finding new drugs for various complex human diseases."
32940124,2021,SLAS technology,Review,Medical Informatics / Digital Health,Artificial Intelligence Effecting a Paradigm Shift in Drug Development.,"The inverse relationship between the cost of drug development and the successful integration of drugs into the market has resulted in the need for innovative solutions to overcome this burgeoning problem. This problem could be attributed to several factors, including the premature termination of clinical trials, regulatory factors, or decisions made in the earlier drug development processes. The introduction of artificial intelligence (AI) to accelerate and assist drug development has resulted in cheaper and more efficient processes, ultimately improving the success rates of clinical trials. This review aims to showcase and compare the different applications of AI technology that aid automation and improve success in drug development, particularly in novel drug target identification and design, drug repositioning, biomarker identification, and effective patient stratification, through exploration of different disease landscapes. In addition, it will also highlight how these technologies are translated into the clinic. This paradigm shift will lead to even greater advancements in the integration of AI in automating processes within drug development and discovery, enabling the probability and reality of attaining future precision and personalized medicine."
34471174,2021,Scientific reports,Research Article,Dermatology,"AI outperformed every dermatologist in dermoscopic melanoma diagnosis, using an optimized deep-CNN architecture with custom mini-batch logic and loss function.","Melanoma, one of the most dangerous types of skin cancer, results in a very high mortality rate. Early detection and resection are two key points for a successful cure. Recent researches have used artificial intelligence to classify melanoma and nevus and to compare the assessment of these algorithms to that of dermatologists. However, training neural networks on an imbalanced dataset leads to imbalanced performance, the specificity is very high but the sensitivity is very low. This study proposes a method for improving melanoma prediction on an imbalanced dataset by reconstructed appropriate CNN architecture and optimized algorithms. The contributions involve three key features as custom loss function, custom mini-batch logic, and reformed fully connected layers. In the experiment, the training dataset is kept up to date including 17,302 images of melanoma and nevus which is the largest dataset by far. The model performance is compared to that of 157 dermatologists from 12 university hospitals in Germany based on the same dataset. The experimental results prove that our proposed approach outperforms all 157 dermatologists and achieves higher performance than the state-of-the-art approach with area under the curve of 94.4%, sensitivity of 85.0%, and specificity of 95.0%. Moreover, using the best threshold shows the most balanced measure compare to other researches, and is promisingly application to medical diagnosis, with sensitivity of 90.0% and specificity of 93.8%. To foster further research and allow for replicability, we made the source code and data splits of all our experiments publicly available."
34247564,2021,The American journal of Chinese medicine,Review,Medical Informatics / Digital Health,The Impact of Artificial Intelligence on Traditional Chinese Medicine.,"Traditional Chinese Medicine (TCM) is a well-established medical system with a long history. Currently, artificial intelligence (AI) is rapidly expanding in many fields including TCM. AI will significantly improve the reliability and accuracy of diagnostics, thus increasing the use of effective therapeutic methods for patients. This systematic review provides an updated overview on the major breakthroughs in the field of AI-assisted TCM four diagnostic methods, syndrome differentiation, and treatment. AI-assisted TCM diagnosis is mainly based on digital data collected by modern electronic instruments, which makes TCM diagnosis more quantitative, objective, and standardized. As a result, the diagnosis decisions made by different TCM doctors exhibit more consistency, accuracy, and reliability. Meanwhile, the therapeutic efficacy of TCM can be evaluated objectively. Therefore, AI is promoting TCM from experience to evidence-based medicine, a genuine scientific revolution. Furthermore, huge and non-uniform knowledge on formula-syndrome relationships and the combination rules of herbal TCM formulae could be better standardized with the help of AI analysis, which is necessary for the clinical efficacy evaluation and further optimization on the standardized TCM formulae. AI bridges the gap between TCM and modern science and technology. AI may bring clinical TCM diagnostics closer to western medicine. With the help of AI, more scientific evidence about TCM will be discovered. It can be expected that more unified guidelines for specific TCM syndromes will be issued with the development of AI-assisted TCM therapies in the future."
35225723,2022,Cancer investigation,Research Article,Oncology,Rapid Progress in Intelligent Radiotherapy and Future Implementation.,"Radiotherapy is one of the major approaches to cancer treatment. Artificial intelligence in radiotherapy (shortly, Intelligent radiotherapy) mainly involves big data, deep learning, extended reality, digital twin, radiomics, Internet plus and Internet of Things (IoT), which establish an automatic and intelligent network platform consisting of radiotherapy preparation, target volume delineation, treatment planning, radiation delivery, quality assurance (QA) and quality control (QC), prognosis judgment and post-treatment follow-up. Intelligent radiotherapy is an interdisciplinary frontier discipline in infancy. The review aims to summary the important implements of intelligent radiotherapy in various areas and put forward the future of unmanned radiotherapy center."
35031822,2022,Cardiovascular and interventional radiology,Review,Radiology / Diagnostic Imaging,Prime Time for Artificial Intelligence in Interventional Radiology.,"Machine learning techniques, also known as artificial intelligence (AI), is about to dramatically change workflow and diagnostic capabilities in diagnostic radiology. The interest in AI in Interventional Radiology is rapidly gathering pace. With this early interest in AI in procedural medicine, IR could lead the way to AI research and clinical applications for all interventional medical fields. This review will address an overview of machine learning, radiomics and AI in the field of interventional radiology, enumerating the possible applications of such techniques, while also describing techniques to overcome the challenge of limited data when applying these techniques in interventional radiology. Lastly, this review will address common errors in research in this field and suggest pathways for those interested in learning and becoming involved about AI."
35187568,2022,Cardiovascular research,Research Article,Cardiology,Current and future implications of the artificial intelligence electrocardiogram: the transformation of healthcare and attendant research opportunities.,
35609670,2022,Clinical biochemistry,Letter,Pathology / Laboratory Medicine,"Artificial intelligence: A step forward in the clinical laboratory, a decision maker hub.",
35909280,2022,Current pharmaceutical design,Editorial,Medical Informatics / Digital Health,"Artificial Intelligence: The New ""Fuel"" to Accelerate Pharmaceutical Development.",
34652003,2022,Digestive endoscopy : official journal of the Japan Gastroenterological Endoscopy Society,Editorial,Internal Medicine / Primary Care,Contribution of the Japan Gastroenterological Endoscopy Society to promote computer-aided diagnosis/detection system development using artificial intelligence technology.,
35608227,2022,European heart journal,Review,Cardiology,"Three-dimensional printing, holograms, computational modelling, and artificial intelligence for adult congenital heart disease care: an exciting future.","Congenital heart disease (CHD) is often comprised of complex three-dimensional (3D) anatomy that must be well understood to assess the pathophysiological consequences and guide therapy. Thus, detailed cardiac imaging for early detection and planning of interventional and/or surgical treatment is paramount. Advanced technologies have revolutionized diagnostic and therapeutic practice in CHD, thus playing an increasing role in its management. Traditional reliance on standard imaging modalities including echocardiography, cardiac computed tomography (CT) and magnetic resonance imaging (MRI) has been augmented by the use of recent technologies such as 3D printing, virtual reality, augmented reality, computational modelling, and artificial intelligence because of insufficient information available with these standard imaging techniques. This has created potential opportunities of incorporating these technologies into routine clinical practice to achieve the best outcomes through delivery of personalized medicine. In this review, we provide an overview of these evolving technologies and a new approach enabling physicians to better understand their real-world application in adult CHD as a prelude to clinical workflow implementation."
36220360,2022,European journal of pharmacology,Review,Medical Informatics / Digital Health,Advancing health care via artificial intelligence: From concept to clinic.,"Ever Since, pharmaceutical companies are facing challenges to develop new drug products faster and economical with good quality, safety and efficacy. The advent of Artificial intelligence (AI) with computational technology empowers scientists, impacts society at a great scale by developing new drugs at rapid pace. Artificial intelligence is the science and engineering of creating intelligent machines using personified knowledge. There are many opportunities to apply AI tools to the drug discovery pipeline. Examples include target identification, identification of biomarkers, molecular modelling, synthesis of molecules, predicting toxicity and picking up leads. Further, this technology also helps the clinical scientists in clinical trial design, execution and real-time analysis. Altogether it facilitates the process of drug discovery, development and also provides better therapy to the patients. Apart from drug discovery and development, AI also has applications in the area of diagnosis, drug delivery, patient adherence and better monitoring of safety. There are many instances where AI can perform tasks better than humans and aid healthcare providers in treating patients. In this article, we have provided discussion on how AI is advancing the health care field to achieve greater success."
35872988,2022,Frontiers in endocrinology,Research Article,Internal Medicine / Primary Care,Cushing's Disease Management: Glimpse Into 2051.,"Major advancements are expected in medicine and healthcare in the 21st century- ""Digital Age"", mainly due to the application of data technologies and artificial intelligence into healthcare. In this perspective article we share a short story depicting the future Cushings' Disease patient and the postulated diagnostic and management approaches. In the discussion, we explain the advances in recent times which makes this future state plausible. We postulate that endocrinology care will be completely reinvented in the Digital Age."
36353272,2022,Frontiers in public health,Research Article,Medical Informatics / Digital Health,"Internet of Things, Machine Learning, and Blockchain Technology: Emerging technologies revolutionizing Universal Health Coverage.",
34954571,2022,"Healthcare (Amsterdam, Netherlands)",Research Article,Internal Medicine / Primary Care,Advancing primary care with Artificial Intelligence and Machine Learning.,"Primary care is the largest healthcare delivery platform in the US. Facing the Artificial Intelligence and Machine Learning technology (AI/ML) revolution, the primary care community would benefit from a roadmap revealing priority areas and opportunities for developing and integrating AI/ML-driven clinical tools. This article presents a framework that identifies five domains for AI/ML integration in primary care to support care delivery transformation and achieve the Quintuple Aims of the healthcare system. We concluded that primary care plays a critical role in developing, introducing, implementing, and monitoring AI/ML tools in healthcare and must not be overlooked as AI/ML transforms healthcare."
