pmid,pub_year,stance,theme(s),mechanism,specialty,region
33435711,2022,Cautious Optimism,,,Ophthalmology,Latin America / Oceania
33441249,2021,Cautious Optimism,,,Multidisciplinary / Other,East Asia
33441504,2022,Cautious Optimism,,,Dentistry,East Asia
33441578,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
33443957,2021,Cautious Optimism,,,Cardiology,North America
33447854,2021,Caution,regulation|safety_clinical,none_or_unclear|discriminative,Medical Informatics / Digital Health,North America
33447941,2021,Advocacy,,,Medical Informatics / Digital Health,South/Southeast Asia
33448511,2021,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
33448514,2021,Cautious Optimism,,,Internal Medicine / Primary Care,North America
33448515,2021,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
33449305,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33451814,2021,Cautious Optimism,,,Cardiology,Eastern Europe
33453573,2021,Caution,safety_clinical,misclassification|discriminative,Radiology / Diagnostic Imaging,Western Europe
33453648,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,North America
33462882,2021,Neutral,,,Medical Informatics / Digital Health,Latin America / Oceania
33464482,2021,Cautious Optimism,,,Medical Informatics / Digital Health,Western Europe
33464580,2021,Neutral,,,Neurology / Neuroscience,Western Europe
33465706,2021,Caution,safety_clinical|hallucination,misclassification|discriminative,Dermatology,Western Europe
33469745,2021,Cautious Optimism,,,Medical Informatics / Digital Health,North America
33476063,2021,Cautious Optimism,,,Medical Informatics / Digital Health,South/Southeast Asia
33478654,2021,Cautious Optimism,,,Cardiology,North America
33478661,2021,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
33480150,2021,Caution,ethics_bias|cognitive|existential,none_or_unclear|discriminative,Medical Informatics / Digital Health,Western Europe
33485773,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
33487411,2021,Cautious Optimism,,,Neurology / Neuroscience,Western Europe
33493130,2021,Cautious Optimism,,,Medical Informatics / Digital Health,East Asia
33494106,2022,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
33496058,2021,Cautious Optimism,,,Dermatology,North America
33496428,2021,Advocacy,,,Medical Education,North America
33499405,2021,Cautious Optimism,,,Medical Informatics / Digital Health,Eastern Europe
33508394,2022,Neutral,,,Dermatology,North America
33509366,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Latin America / Oceania
33509367,2021,Cautious Optimism,,,Medical Informatics / Digital Health,North America
33509368,2021,Caution,ethics_bias|regulation,none_or_unclear|discriminative,Radiology / Diagnostic Imaging,Latin America / Oceania
33509369,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
33509373,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
33513353,2021,Caution,hallucination|safety_clinical|ethics_bias,misclassification|discriminative,Medical Informatics / Digital Health,Western Europe
33513392,2021,Cautious Optimism,,,Medical Informatics / Digital Health,North America
33513984,2021,Cautious Optimism,,,Medical Informatics / Digital Health,Middle East / North Africa
33517389,2021,Cautious Optimism,,,Oncology,South/Southeast Asia
33519433,2020,Neutral,,,Medical Informatics / Digital Health,Western Europe
33525044,2021,Neutral,,,Internal Medicine / Primary Care,Latin America / Oceania
33525045,2021,Neutral,,,Internal Medicine / Primary Care,South/Southeast Asia
33526932,2021,Cautious Optimism,,,Medical Informatics / Digital Health,Unknown
33529136,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33529363,2021,Advocacy,,,Neurology / Neuroscience,North America
33533192,2021,Cautious Optimism,,,Oncology,Western Europe
33533536,2021,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
33538778,2021,Cautious Optimism,,,Medical Informatics / Digital Health,North America
33542191,2021,Alarm,cognitive|safety_clinical,misclassification|discriminative,Mental Health / Psychiatry,North America
33544302,2021,Cautious Optimism,,,Oncology,East Asia
33547086,2021,Caution,safety_clinical|regulation|hallucination,none_or_unclear|discriminative,Medical Informatics / Digital Health,Latin America / Oceania
33549586,2021,Cautious Optimism,,,Oncology,Western Europe
33550005,2021,Caution,safety_clinical|hallucination|regulation,misclassification|discriminative,Medical Informatics / Digital Health,East Asia
33554432,2021,Cautious Optimism,,,Medical Informatics / Digital Health,Western Europe
33554681,2021,Caution,regulation|ethics_bias,none_or_unclear|discriminative,Medical Informatics / Digital Health,North America
33555110,2021,Caution,hallucination|safety_clinical,misclassification|discriminative,Nursing,Western Europe
33555354,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33556034,2021,Cautious Optimism,,,Medical Informatics / Digital Health,East Asia
33556686,2021,Neutral,,,Radiology / Diagnostic Imaging,Western Europe
33560019,2021,Cautious Optimism,,,Mental Health / Psychiatry,Unknown
33560315,2021,Caution,regulation|ethics_bias,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
33560998,2021,Cautious Optimism,,,Medical Informatics / Digital Health,North America
33561505,2021,Cautious Optimism,,,Oncology,Western Europe
33562753,2021,Cautious Optimism,,,Oncology,Western Europe
33564873,2021,Cautious Optimism,,,Cardiology,North America
33565982,2021,Caution,ethics_bias,misclassification|discriminative,Internal Medicine / Primary Care,North America
33571010,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33571849,2021,Cautious Optimism,,,Pediatrics,Western Europe
33575021,2021,Advocacy,,,Medical Informatics / Digital Health,South/Southeast Asia
33577791,2021,Cautious Optimism,,,Ophthalmology,North America
33581198,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,North America
33581255,2022,Cautious Optimism,,,Cardiology,Western Europe
33581832,2021,Cautious Optimism,,,Medical Informatics / Digital Health,Western Europe
33581913,2021,Cautious Optimism,,,Oncology,Western Europe
33583047,2021,Cautious Optimism,,,Ophthalmology,Latin America / Oceania
33588803,2021,Caution,ethics_bias|regulation|data_privacy,none_or_unclear|unclear,Medical Informatics / Digital Health,North America
33589700,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
33590577,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,Western Europe
33590744,2022,Caution,existential|ethics_bias,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
33590821,2021,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
33592048,2021,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
33592653,2021,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
33594897,2022,Neutral,,,Ophthalmology,Eastern Europe
33595451,2021,Caution,regulation|ethics_bias,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
33595930,2021,Cautious Optimism,,,Surgery,North America
33599203,2021,Cautious Optimism,,,Neurology / Neuroscience,Western Europe
33600229,2021,Cautious Optimism,,,Cardiology,North America
33606779,2021,Neutral,,,Radiology / Diagnostic Imaging,East Asia
33620208,2021,Cautious Optimism,,,Medical Informatics / Digital Health,Middle East / North Africa
33624324,2021,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
33624888,2021,Cautious Optimism,,,Internal Medicine / Primary Care,North America
33624889,2021,Caution,safety_clinical|regulation|ethics_bias,none_or_unclear|unclear,Medical Informatics / Digital Health,North America
33624890,2021,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
33625063,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Unknown
33625278,2021,Cautious Optimism,,,Multidisciplinary / Other,North America
33625307,2021,Cautious Optimism,,,Surgery,Western Europe
33626583,2021,Caution,data_privacy|regulation|safety_clinical,none_or_unclear|discriminative,Emergency Medicine / Critical Care,North America
33627020,2021,Caution,existential|safety_clinical,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
33629545,2021,Caution,regulation,misclassification|discriminative,Medical Informatics / Digital Health,East Asia
33631297,2022,Cautious Optimism,,,Pathology / Laboratory Medicine,Western Europe
33634416,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
33634893,2022,Cautious Optimism,,,Medical Informatics / Digital Health,North America
33635412,2021,Cautious Optimism,,,Oncology,East Asia
33635801,2021,Alarm,safety_clinical|hallucination,misclassification|both,Medical Informatics / Digital Health,Unknown
33636229,2021,Cautious Optimism,,,Oncology,Western Europe
33639101,2021,Cautious Optimism,,,Oncology,Sub-Saharan Africa
33650129,2021,Neutral,,,Dermatology,South/Southeast Asia
33651768,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33653645,2021,Cautious Optimism,,,Dentistry,Western Europe
33655433,2021,Caution,education|ethics_bias,none_or_unclear|unclear,Medical Education,North America
33655800,2021,Caution,regulation|hallucination,none_or_unclear|unclear,Dentistry,Western Europe
33656443,2021,Caution,safety_clinical,misclassification|discriminative,Oncology,Western Europe
33657513,2021,Caution,regulation|safety_clinical,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
33658025,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
33658806,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33662856,2021,Cautious Optimism,,,Medical Informatics / Digital Health,Western Europe
33665833,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
33666563,2021,Cautious Optimism,,,Medical Education,Western Europe
33666954,2021,Caution,regulation|safety_clinical,none_or_unclear|unclear,Dermatology,Western Europe
33667591,2021,Cautious Optimism,,,Oncology,North America
