claim_id,retrieved_pmids_top20,retrieved_scores_top20,top_score
37429545,39832626|41644015|40457336|40791245|41171887|38832074|41155050|38771237|41910849|41300916|40911459|40945155|40037167|41338440|38356538|38724317|40053624|38968013|40092968|41899891,65.189|65.095|65.091|64.994|64.666|64.368|64.274|64.255|64.231|64.155|64.123|64.123|64.065|64.065|64.062|63.979|63.975|63.92|63.903|63.858,65.189
37088277,40550116|40596684|40393680|40305090|41663331|39355902|38247132|39799741|39810943|39289903|41774170|41699404|40287483|41339707|41032884|41505193|38593984|39326228|38940388|40474219,64.807|63.913|63.544|63.542|63.466|63.431|63.402|63.304|63.14|62.985|62.849|62.781|62.653|62.519|62.503|62.426|62.422|62.402|62.396|62.387,64.807
36924908,38247132|39103621|40393680|40596684|37779351|40531221|38329787|39799741|38281582|38648540|38527167|40555983|42027709|38224925|38593984|39035703|39058798|39810943|38066714|39978322,67.922|66.561|66.433|66.155|66.001|65.394|65.281|64.988|64.88|64.844|64.742|64.659|64.571|64.487|64.379|64.358|64.304|64.055|64.042|63.931,67.922
37204548,38574687|39136574|38723944|37500980|38353523|37923374|37450276|41965230|40520893|39429611|41773846|40777857|39061677|39326037|38806794|41242607|38179986|40013839|39198333|41697048,65.636|65.532|65.211|64.74|63.368|63.362|63.261|62.949|62.899|62.67|62.43|62.276|62.199|62.196|62.168|62.156|61.884|61.658|61.644|61.587,65.636
37335374,39747786|40376848|39708670|38853633|41431473|40550258|40730485|38982912|41123279|40567963|38194263|40406131|38318824|39624726|40974075|40124369|40756816|40216974|37955873|40410212,68.551|67.556|66.231|65.866|65.766|65.714|65.479|65.365|65.01|64.975|64.928|64.927|64.808|64.503|64.483|64.472|64.393|64.333|64.325|64.144,68.551
37183438,41535766|39774443|39259922|39008829|41797434|41632936|38513166|39921887|39644869|40325165|38876943|41876500|38654304|40153782|39602661|39828224|39327389|38508642|39673022|42038722,63.726|63.473|63.007|62.884|62.849|62.811|62.699|62.693|62.644|62.515|62.383|62.377|62.189|62.044|61.962|61.957|61.911|61.896|61.879|61.862,63.726
37366774,41586769|41438031|41873493|41624314|39998782|41252130|41262650|40228444|40080779|40152019|38854718|38923826|41089270|41232145|39301542|39290808|38871125|41664164|39330017|41448964,65.647|65.634|65.492|65.457|65.44|65.319|65.318|65.158|65.107|65.079|64.915|64.911|64.849|64.793|64.767|64.76|64.748|64.716|64.711|64.71,65.647
37686619,39754864|41083099|41308576|38466390|40961741|39592384|40237429|39254229|39306349|40647622|40090215|41590236|38862884|40808515|41875027|39206529|38827776|38223072|39844169|38509635,66.833|65.862|65.693|65.625|65.219|65.188|64.99|64.719|64.607|64.439|64.382|64.19|64.189|64.175|64.133|64.109|64.101|64.1|64.09|64.006,66.833
37686619-2,40000987|40075547|40646489|41076471|40824334|40571779|40266997|39255296|38539465|41563963|41417019|40884974|40541405|40095252|39208053|38626509|41246950|38224617|40253896|41130882,66.77|65.881|65.665|65.438|65.41|64.873|64.734|64.521|64.505|64.466|64.373|64.292|64.256|64.218|64.204|64.183|64.155|64.15|64.134|64.091,66.77
36706908,38775426|39322260|38838309|41730897|39931024|41453519|41094888|41776953|39971691|40657527|41581898|40753860|40431777|41518681|38341800|40402540|40239229|39949509|40119215|40966587,62.218|61.866|61.77|61.735|61.719|61.382|61.316|61.218|61.159|61.076|61.049|60.848|60.804|60.801|60.788|60.785|60.752|60.74|60.735|60.725,62.218
37055885,40487933|38923826|40457408|38159301|40228444|41322389|40299653|39288288|38876943|41754942|38791910|39434042|41968983|41930554|40499001|39053289|41402855|39519142|39672997|40037170,64.929|64.548|64.288|64.206|64.145|64.057|64.014|63.888|63.79|63.772|63.741|63.67|63.63|63.622|63.572|63.513|63.509|63.506|63.476|63.461,64.929
36736581,38702711|41630488|41015943|39763060|38569183|40389552|41206190|41632854|38291217|39473198|38663579|39284102|40087789|40175042|41691035|40626099|39631255|38288793|41664164|40089758,64.075|63.72|63.563|63.112|63.048|63.046|63.03|62.946|62.936|62.935|62.917|62.875|62.668|62.666|62.642|62.583|62.559|62.503|62.495|62.358,64.075
37705603,40767217|39653514|40595089|38702711|41219950|40373300|40785175|40825229|41485386|40486280|38416097|41172300|38377725|41166702|41251145|39388693|39975778|39622048|40615993|40738477,65.088|65.07|65.036|64.957|64.744|64.691|64.444|64.428|64.386|64.385|64.375|64.371|64.337|64.335|64.301|64.276|64.163|64.129|64.088|64.084,65.088
37529703,38323891|41797704|41696324|40360908|41614721|40893044|39473198|39702867|40581507|39557634|40820426|40026321|40893437|39173629|40442394|40573185|39348666|39396920|38735845|39549321,65.975|65.677|65.497|65.455|65.366|65.028|64.935|64.654|64.64|64.437|63.975|63.948|63.767|63.745|63.717|63.691|63.675|63.646|63.638|63.553,65.975
37927543,41201199|38457373|39314814|41870692|40834625|42052564|38928964|39141910|40408361|41581898|40805876|39811693|38572870|38761230|38626597|40462637|41241583|37904073|40825229|39042600,67.2|66.173|65.156|65.154|65.043|64.94|64.824|64.821|64.788|64.538|64.519|64.434|64.43|64.392|64.305|64.186|64.106|64.089|63.92|63.847,67.2
38259001,39473198|40573185|41077086|40175053|40782982|41614721|40190248|41524988|41445476|41075423|42075869|38702711|40938134|39744873|40439837|40175042|41761496|39083361|41630488|40008227,65.874|65.655|65.607|65.354|65.137|64.994|64.923|64.904|64.897|64.875|64.857|64.683|64.682|64.604|64.586|64.556|64.553|64.532|64.512|64.481,65.874
37656938,41377085|38735564|39236508|41258614|41662502|38126511|37983846|38902500|40070545|38554271|40397947|40699917|41899512|39557634|41262650|39152194|41663331|39329071|41396028|40285677,70.034|69.866|69.763|69.506|69.178|68.999|68.892|68.612|68.607|68.425|68.416|68.353|68.249|68.234|68.226|68.205|68.201|68.166|68.14|68.113,70.034
35695277,39470943|38893630|42042558|40877031|40106837|40973540|40740375|39038650|41639234|40248921|41216029|39518681|40708978|40426849|38415358|39025234|38869157|38593945|40956375|40191936,67.121|66.987|66.879|66.429|66.408|66.174|66.169|66.054|65.988|65.899|65.841|65.833|65.805|65.737|65.658|65.579|65.558|65.558|65.548|65.477,67.121
37347508,41581898|42027212|38623218|39290363|41195369|40857713|39878545|40815794|41459571|38416097|38641244|38725039|42081524|41558389|40532180|41255039|41271206|38816721|38184297|38442909,68.019|67.905|67.892|67.39|67.148|67.077|67.076|66.93|66.904|66.874|66.774|66.765|66.752|66.707|66.688|66.591|66.544|66.399|66.354|66.298,68.019
37751243,39322260|39481247|37450276|40804880|41398195|39735232|40840165|41085337|40185894|39771939|41436817|40526627|41760818|40307361|41002329|38775426|40479789|38870733|40499161|39152194,64.38|64.211|64.189|63.881|63.811|63.807|63.754|63.725|63.653|63.597|63.574|63.534|63.52|63.468|63.463|63.44|63.403|63.385|63.354|63.348,64.38
37975946,41622014|39820845|41055647|40815794|41431407|38830215|40579558|40114650|39725798|41513291|40782982|41289855|41450060|40402540|40190248|40014000|39531100|41494121|41444884|39243293,65.042|64.928|64.578|63.877|63.591|63.576|63.525|63.503|63.413|63.411|63.391|63.378|63.35|63.33|63.329|63.222|63.196|63.182|63.122|63.046,65.042
37623465,38491544|38377725|40504809|40905593|39260855|39121051|41875027|41188209|41167995|40588252|38555850|40449898|38831298|38555849|41608759|38696359|41166702|41661176|41524988|40036167,67.982|66.228|65.948|65.674|65.657|65.54|65.527|65.468|65.209|65.202|65.178|65.138|65.036|64.884|64.879|64.879|64.877|64.875|64.85|64.849,67.982
37459906,39056632|41961172|41153274|40228444|41466735|39059212|38958517|39761351|37501529|39744873|40748254|38972594|38363978|41149307|41013029|39954999|40522091|40415068|39216205|39263113,64.935|64.881|64.676|64.461|64.455|64.375|64.129|64.11|64.088|64.085|64.085|64.032|64.024|64.003|63.937|63.907|63.79|63.76|63.758|63.726,64.935
36841609,41135040|40204164|38668040|39024299|39464796|40162893|38285984|38746668|37729050|38366043|39556827|41324732|38819879|40384063|40053403|40536801|40535072|39321458|38825181|41196263,69.134|68.96|68.854|68.579|68.261|68.133|68.047|67.985|67.899|67.883|67.86|67.836|67.816|67.803|67.739|67.721|67.709|67.629|67.624|67.598,69.134
38036704,41731014|40536801|41554155|40992205|39467275|39786555|38819879|40877595|41060040|40795315|40627819|41385781|39432345|41937804|39390479|41324732|39435030|41321561|38200151|40096682,68.931|68.895|68.851|68.769|68.679|68.094|68.01|67.726|67.661|67.65|67.615|67.481|67.442|67.367|67.359|67.338|67.283|67.241|67.208|67.168,68.931
37757713,41810878|41450058|39949509|39413564|40836587|40487987|41781954|38268252|41833484|40823249|39388757|41764775|41237291|40644844|40863670|37071572|41950601|38977848|39250789|39819048,63.414|62.737|62.593|62.5|62.494|62.199|62.093|61.973|61.97|61.86|61.656|61.652|61.611|61.517|61.516|61.486|61.47|61.459|61.35|61.322,63.414
37389584,40405922|41843814|41233816|39732679|38912098|40160854|41625019|41474219|39530111|40951961|41680109|41103258|41657679|41357265|40101179|40567249|39937452|40754583|38182023|40853406,68.795|68.418|68.365|67.98|67.605|67.301|67.094|67.016|66.805|66.555|66.273|66.23|66.202|66.028|65.962|65.939|65.923|65.864|65.855|65.801,68.795
37489981,41231298|38320337|39326236|41620349|37828297|41925458|38243605|40021679|40524839|40647634|40977631|39508992|40298602|38849691|38224925|40760099|41036648|39571686|39474916|41681922,67.941|67.748|67.687|67.241|66.557|66.284|66.137|66.133|66.006|66.005|66.003|65.51|65.257|65.22|65.176|65.002|64.95|64.854|64.77|64.766,67.941
35101642,38893630|39158472|39184156|40835433|41326714|39470943|42042558|39505413|41639234|40331418|39891819|41307845|40426849|37907600|39214759|38247435|40142902|40191936|40248254|41892847,66.674|66.382|66.157|66.141|65.966|65.929|65.896|65.663|65.531|65.495|65.483|65.443|65.427|65.397|65.302|65.237|65.221|65.186|65.176|65.171,66.674
